State,Year,State.Year,Votes
Alabama,1920,ALABAMA_1920,12
Arizona,1920,ARIZONA_1920,3
Arkansas,1920,ARKANSAS_1920,9
California,1920,CALIFORNIA_1920,13
Colorado,1920,COLORADO_1920,6
Connecticut,1920,CONNECTICUT_1920,7
Delaware,1920,DELAWARE_1920,3
DC,1920,DC_1920,0
Florida,1920,FLORIDA_1920,6
Georgia,1920,GEORGIA_1920,14
Idaho,1920,IDAHO_1920,4
Illinois,1920,ILLINOIS_1920,29
Indiana,1920,INDIANA_1920,15
Iowa,1920,IOWA_1920,13
Kansas,1920,KANSAS_1920,10
Kentucky,1920,KENTUCKY_1920,13
Louisiana,1920,LOUISIANA_1920,10
Maine,1920,MAINE_1920,6
Maryland,1920,MARYLAND_1920,8
Massachusetts,1920,MASSACHUSETTS_1920,18
Michigan,1920,MICHIGAN_1920,15
Minnesota,1920,MINNESOTA_1920,12
Mississippi,1920,MISSISSIPPI_1920,10
Missouri,1920,MISSOURI_1920,18
Montana,1920,MONTANA_1920,4
Nebraska,1920,NEBRASKA_1920,8
Nevada,1920,NEVADA_1920,3
New Hampshire,1920,NEW HAMPSHIRE_1920,4
New Jersey,1920,NEW JERSEY_1920,14
New Mexico,1920,NEW MEXICO_1920,3
New York,1920,NEW YORK_1920,45
North Carolina,1920,NORTH CAROLINA_1920,12
North Dakota,1920,NORTH DAKOTA_1920,5
Ohio,1920,OHIO_1920,24
Oklahoma,1920,OKLAHOMA_1920,10
Oregon,1920,OREGON_1920,5
Pennsylvania,1920,PENNSYLVANIA_1920,38
Rhode Island,1920,RHODE ISLAND_1920,5
South Carolina,1920,SOUTH CAROLINA_1920,9
South Dakota,1920,SOUTH DAKOTA_1920,5
Tennessee,1920,TENNESSEE_1920,12
Texas,1920,TEXAS_1920,20
Utah,1920,UTAH_1920,4
Vermont,1920,VERMONT_1920,4
Virginia,1920,VIRGINIA_1920,12
Washington,1920,WASHINGTON_1920,7
West Virginia,1920,WEST VIRGINIA_1920,8
Wisconsin,1920,WISCONSIN_1920,13
Wyoming,1920,WYOMING_1920,3
Alabama,1924,ALABAMA_1924,12
Arizona,1924,ARIZONA_1924,3
Arkansas,1924,ARKANSAS_1924,9
California,1924,CALIFORNIA_1924,13
Colorado,1924,COLORADO_1924,6
Connecticut,1924,CONNECTICUT_1924,7
Delaware,1924,DELAWARE_1924,3
DC,1924,DC_1924,0
Florida,1924,FLORIDA_1924,6
Georgia,1924,GEORGIA_1924,14
Idaho,1924,IDAHO_1924,4
Illinois,1924,ILLINOIS_1924,29
Indiana,1924,INDIANA_1924,15
Iowa,1924,IOWA_1924,13
Kansas,1924,KANSAS_1924,10
Kentucky,1924,KENTUCKY_1924,13
Louisiana,1924,LOUISIANA_1924,10
Maine,1924,MAINE_1924,6
Maryland,1924,MARYLAND_1924,8
Massachusetts,1924,MASSACHUSETTS_1924,18
Michigan,1924,MICHIGAN_1924,15
Minnesota,1924,MINNESOTA_1924,12
Mississippi,1924,MISSISSIPPI_1924,10
Missouri,1924,MISSOURI_1924,18
Montana,1924,MONTANA_1924,4
Nebraska,1924,NEBRASKA_1924,8
Nevada,1924,NEVADA_1924,3
New Hampshire,1924,NEW HAMPSHIRE_1924,4
New Jersey,1924,NEW JERSEY_1924,14
New Mexico,1924,NEW MEXICO_1924,3
New York,1924,NEW YORK_1924,45
North Carolina,1924,NORTH CAROLINA_1924,12
North Dakota,1924,NORTH DAKOTA_1924,5
Ohio,1924,OHIO_1924,24
Oklahoma,1924,OKLAHOMA_1924,10
Oregon,1924,OREGON_1924,5
Pennsylvania,1924,PENNSYLVANIA_1924,38
Rhode Island,1924,RHODE ISLAND_1924,5
South Carolina,1924,SOUTH CAROLINA_1924,9
South Dakota,1924,SOUTH DAKOTA_1924,5
Tennessee,1924,TENNESSEE_1924,12
Texas,1924,TEXAS_1924,20
Utah,1924,UTAH_1924,4
Vermont,1924,VERMONT_1924,4
Virginia,1924,VIRGINIA_1924,12
Washington,1924,WASHINGTON_1924,7
West Virginia,1924,WEST VIRGINIA_1924,8
Wisconsin,1924,WISCONSIN_1924,13
Wyoming,1924,WYOMING_1924,3
Alabama,1928,ALABAMA_1928,12
Arizona,1928,ARIZONA_1928,3
Arkansas,1928,ARKANSAS_1928,9
California,1928,CALIFORNIA_1928,13
Colorado,1928,COLORADO_1928,6
Connecticut,1928,CONNECTICUT_1928,7
Delaware,1928,DELAWARE_1928,3
DC,1928,DC_1928,0
Florida,1928,FLORIDA_1928,6
Georgia,1928,GEORGIA_1928,14
Hawaii,1928,HAWAII_1928,
Idaho,1928,IDAHO_1928,4
Illinois,1928,ILLINOIS_1928,29
Indiana,1928,INDIANA_1928,15
Iowa,1928,IOWA_1928,13
Kansas,1928,KANSAS_1928,10
Kentucky,1928,KENTUCKY_1928,13
Louisiana,1928,LOUISIANA_1928,10
Maine,1928,MAINE_1928,6
Maryland,1928,MARYLAND_1928,8
Massachusetts,1928,MASSACHUSETTS_1928,18
Michigan,1928,MICHIGAN_1928,15
Minnesota,1928,MINNESOTA_1928,12
Mississippi,1928,MISSISSIPPI_1928,10
Missouri,1928,MISSOURI_1928,18
Montana,1928,MONTANA_1928,4
Nebraska,1928,NEBRASKA_1928,8
Nevada,1928,NEVADA_1928,3
New Hampshire,1928,NEW HAMPSHIRE_1928,4
New Jersey,1928,NEW JERSEY_1928,14
New Mexico,1928,NEW MEXICO_1928,3
New York,1928,NEW YORK_1928,45
North Carolina,1928,NORTH CAROLINA_1928,12
North Dakota,1928,NORTH DAKOTA_1928,5
Ohio,1928,OHIO_1928,24
Oklahoma,1928,OKLAHOMA_1928,10
Oregon,1928,OREGON_1928,5
Pennsylvania,1928,PENNSYLVANIA_1928,38
Rhode Island,1928,RHODE ISLAND_1928,5
South Carolina,1928,SOUTH CAROLINA_1928,9
South Dakota,1928,SOUTH DAKOTA_1928,5
Tennessee,1928,TENNESSEE_1928,12
Texas,1928,TEXAS_1928,20
Utah,1928,UTAH_1928,4
Vermont,1928,VERMONT_1928,4
Virginia,1928,VIRGINIA_1928,12
Washington,1928,WASHINGTON_1928,7
West Virginia,1928,WEST VIRGINIA_1928,8
Wisconsin,1928,WISCONSIN_1928,13
Wyoming,1928,WYOMING_1928,3
Alabama,1932,ALABAMA_1932,11
Alaska,1932,ALASKA_1932,
Arizona,1932,ARIZONA_1932,3
Arkansas,1932,ARKANSAS_1932,9
California,1932,CALIFORNIA_1932,22
Colorado,1932,COLORADO_1932,6
Connecticut,1932,CONNECTICUT_1932,8
Delaware,1932,DELAWARE_1932,3
DC,1932,DC_1932,0
Florida,1932,FLORIDA_1932,7
Georgia,1932,GEORGIA_1932,12
Idaho,1932,IDAHO_1932,4
Illinois,1932,ILLINOIS_1932,29
Indiana,1932,INDIANA_1932,14
Iowa,1932,IOWA_1932,11
Kansas,1932,KANSAS_1932,9
Kentucky,1932,KENTUCKY_1932,11
Louisiana,1932,LOUISIANA_1932,10
