FIPS,Geographic Name,Geographic Subtype,Total Vote,James Cox,Warren Harding,Eugene Debs,Parley Christiansen,Aaron Watkins,James Ferguson,William Cox,No Candidate,Robert Macauley,Write-ins
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10
1,Alabama,State,260307,160560,96589,2402,0,756,0,0,0,0,0
4,Arizona,State,66562,29546,37016,0,0,0,0,0,0,0,0
5,Arkansas,State,183637,107409,71117,5111,0,0,0,0,0,0,0
6,California,State,944050,229191,624992,64076,0,25204,0,0,0,0,587
8,Colorado,State,292053,104936,173248,8046,3016,2807,0,0,0,0,0
9,Connecticut,State,365518,120721,229238,10350,1947,1771,0,1491,0,0,0
10,Delaware,State,94875,39911,52858,988,93,986,0,0,0,39,0
12,Florida,State,145681,90515,44853,5189,0,5124,0,0,0,0,0
13,Georgia,State,148716,107162,41089,465,0,0,0,0,0,0,0
16,Idaho,State,135624,46579,88975,38,0,32,0,0,0,0,0
17,Illinois,State,2094714,534395,1420480,74747,49630,11216,0,3471,0,775,0
18,Indiana,State,1262964,511364,696370,24703,16499,13462,0,0,0,566,0
19,Iowa,State,895082,227921,634674,16981,10321,4197,0,982,0,0,6
20,Kansas,State,570318,185464,369268,15511,0,0,0,0,0,0,75
21,Kentucky,State,918636,456497,452480,6409,0,3250,0,0,0,0,0
22,Louisiana,State,126396,87519,38538,0,0,0,0,0,0,0,339
23,Maine,State,197840,58961,136355,2214,0,0,0,0,0,310,0
24,Maryland,State,428443,180626,236117,8876,1645,0,0,1178,0,0,1
25,Massachusetts,State,993718,276691,681153,32267,0,0,0,3583,0,0,24
26,Michigan,State,1048411,233450,762865,28947,10480,9646,0,2539,0,484,0
27,Minnesota,State,735838,142994,519421,56106,0,11489,0,5828,0,0,0
28,Mississippi,State,82492,69277,11576,1639,0,0,0,0,0,0,0
29,Missouri,State,1332800,574799,727162,20242,3291,5142,0,2164,0,0,0
30,Montana,State,179006,57372,109430,0,12204,0,0,0,0,0,0
31,Nebraska,State,382743,119608,247498,9600,0,5947,0,0,0,0,90
32,Nevada,State,27194,9851,15479,1864,0,0,0,0,0,0,0
33,New Hampshire,State,159092,62662,95196,1234,0,0,0,0,0,0,0
34,New Jersey,State,903943,256887,611541,27141,2200,4734,0,923,0,517,0
35,New Mexico,State,105406,46668,57634,0,1104,0,0,0,0,0,0
36,New York,State,2898513,781238,1871167,203201,18413,19653,0,4841,0,0,0
37,North Carolina,State,538758,305447,232848,446,0,17,0,0,0,0,0
38,North Dakota,State,205776,37422,160072,8282,0,0,0,0,0,0,0
39,Ohio,State,2021653,780037,1182022,57147,0,0,0,0,0,2153,294
40,Oklahoma,State,486610,217053,243831,25726,0,0,0,0,0,0,0
41,Oregon,State,238522,80019,143592,9801,0,3595,0,1515,0,0,0
42,Pennsylvania,State,1852616,503843,1218216,70571,15704,42696,0,753,0,806,27
44,Rhode Island,State,167981,55062,107463,4351,0,510,0,495,0,100,0
45,South Carolina,State,66808,64170,2610,28,0,0,0,0,0,0,0
46,South Dakota,State,182237,35938,110692,0,34707,900,0,0,0,0,0
47,Tennessee,State,428626,206558,219829,2239,0,0,0,0,0,0,0
48,Texas,State,486641,288767,114538,8121,0,0,47968,0,27247,0,0
49,Utah,State,145828,56639,81555,3159,4475,0,0,0,0,0,0
50,Vermont,State,89961,20919,68212,0,0,774,0,0,0,0,56
51,Virginia,State,230999,141670,87456,807,240,826,0,0,0,0,0
53,Washington,State,398715,84298,223137,8913,77246,3800,0,1321,0,0,0
54,West Virginia,State,509942,220789,282007,5618,0,1528,0,0,0,0,0
55,Wisconsin,State,701280,113422,498576,80635,0,8647,0,0,0,0,0
56,Wyoming,State,54700,17429,35091,0,2180,0,0,0,0,0,0
