FIPS,Geographic Name,Geographic Subtype,Total Vote,John Davis,Calvin Coolidge,Robert LaFollette,Herman Faris,Frank Johns,William Foster,Gilbert Nations,Write-ins,William Wallace
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9
1,Alabama,State,162355,113138,40615,8040,562,0,0,0,0,0
4,Arizona,State,73961,26235,30516,17210,0,0,0,0,0,0
5,Arkansas,State,138532,84795,40564,13173,0,0,0,0,0,0
6,California,State,1281900,105514,733250,424649,18365,0,0,0,122,0
8,Colorado,State,342260,75238,195171,69945,966,378,562,0,0,0
9,Connecticut,State,400295,110184,246322,42416,0,1373,0,0,0,0
10,Delaware,State,90885,33445,52441,4979,0,0,0,0,0,20
12,Florida,State,109154,62083,30633,8625,5498,0,0,2315,0,0
13,Georgia,State,166577,123200,30300,12691,231,0,0,155,0,0
16,Idaho,State,148295,24256,69879,54160,0,0,0,0,0,0
17,Illinois,State,2470067,576975,1453321,432027,2367,2334,2622,0,0,421
18,Indiana,State,1272390,492245,703042,71700,4416,0,987,0,0,0
19,Iowa,State,976770,160382,537458,274448,0,0,4037,0,445,0
20,Kansas,State,662454,156319,407671,98461,0,0,0,0,3,0
21,Kentucky,State,815332,374855,398966,38465,0,1499,0,1299,0,248
22,Louisiana,State,121951,93218,24670,0,0,0,0,0,4063,0
23,Maine,State,192192,41964,138440,11382,0,406,0,0,0,0
24,Maryland,State,358630,148072,162414,47157,0,987,0,0,0,0
25,Massachusetts,State,1129837,280831,703476,141225,0,1668,2635,0,2,0
26,Michigan,State,1160419,152359,874631,122014,6085,0,5330,0,0,0
27,Minnesota,State,822146,55913,420759,339192,0,1855,4427,0,0,0
28,Mississippi,State,112462,100474,8494,3494,0,0,0,0,0,0
29,Missouri,State,1307958,572753,648486,84160,1418,883,0,0,0,258
30,Montana,State,174423,33805,74138,66123,0,0,357,0,0,0
31,Nebraska,State,464173,137289,218585,106701,1594,0,0,0,4,0
32,Nevada,State,26921,5909,11243,9769,0,0,0,0,0,0
33,New Hampshire,State,164769,57201,98575,8993,0,0,0,0,0,0
34,New Jersey,State,1086079,297743,675162,108901,1337,819,1540,358,0,219
35,New Mexico,State,112830,48542,54745,9543,0,0,0,0,0,0
36,New York,State,3263939,950796,1820058,474913,0,9928,8244,0,0,0
37,North Carolina,State,482687,284270,191753,6651,13,0,0,0,0,0
38,North Dakota,State,199081,13858,94931,89922,0,0,370,0,0,0
39,Ohio,State,2016237,477888,1176130,357948,0,3025,0,0,0,1246
40,Oklahoma,State,528415,255798,226242,46375,0,0,0,0,0,0
41,Oregon,State,279488,67589,142579,68403,0,917,0,0,0,0
42,Pennsylvania,State,2144850,409192,1401481,307567,9779,634,2735,13035,131,296
44,Rhode Island,State,210115,76606,125286,7628,0,268,289,0,0,38
45,South Carolina,State,50752,49008,1123,620,0,0,0,0,1,0
46,South Dakota,State,203868,27214,101299,75355,0,0,0,0,0,0
47,Tennessee,State,300220,158682,130728,10610,100,0,0,100,0,0
48,Texas,State,657509,484605,130023,42881,0,0,0,0,0,0
49,Utah,State,156990,47001,77327,32662,0,0,0,0,0,0
50,Vermont,State,102917,16124,80498,5964,326,3,0,0,2,0
51,Virginia,State,223602,139716,73312,10377,0,197,0,0,0,0
53,Washington,State,421549,42842,220224,150727,0,1004,761,5991,0,0
54,West Virginia,State,583662,257232,288635,36723,0,0,0,1072,0,0
55,Wisconsin,State,840826,68115,311614,453678,2918,458,3773,0,0,270
56,Wyoming,State,79900,12868,41858,25174,0,0,0,0,0,0
