FIPS,Geographic Name,Geographic Subtype,Total Vote,Alfred Smith,Herbert Hoover,Norman Thomas,William Foster,Verne Reynolds,William Varney,Frank Webb,Write-ins
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8
1,Alabama,State,248981,127796,120725,460,0,0,0,0,0
4,Arizona,State,91254,38537,52533,0,184,0,0,0,0
5,Arkansas,State,197693,119196,77751,429,317,0,0,0,0
6,California,State,1796656,614365,1162323,19595,112,0,0,0,261
8,Colorado,State,392242,133131,253872,3472,675,0,0,1092,0
9,Connecticut,State,553124,252085,296641,3029,738,625,0,0,6
10,Delaware,State,105891,36643,68860,329,59,0,0,0,0
12,Florida,State,253674,101764,144168,4036,3704,0,0,0,2
13,Georgia,State,229158,129602,99368,124,64,0,0,0,0
16,Idaho,State,151541,52926,97322,1293,0,0,0,0,0
17,Illinois,State,3107489,1313817,1769141,19138,3581,1812,0,0,0
18,Indiana,State,1421314,562691,848290,3871,321,645,5496,0,0
19,Iowa,State,1009489,379311,623570,2960,328,230,0,3088,2
20,Kansas,State,713200,193003,513672,6205,320,0,0,0,0
21,Kentucky,State,941274,381070,558734,837,293,340,0,0,0
22,Louisiana,State,215833,164655,51160,0,0,0,0,0,18
23,Maine,State,262171,81179,179923,1068,0,0,0,0,1
24,Maryland,State,528348,223626,301479,1701,636,906,0,0,0
25,Massachusetts,State,1577823,792758,775566,6262,2461,772,0,0,4
26,Michigan,State,1372082,396762,965396,3516,2881,799,2728,0,0
27,Minnesota,State,970976,396451,560977,6774,4853,1921,0,0,0
28,Mississippi,State,151692,124539,27153,0,0,0,0,0,0
29,Missouri,State,1500721,662562,834080,3739,0,340,0,0,0
30,Montana,State,194108,78578,113300,1667,563,0,0,0,0
31,Nebraska,State,547144,197959,345745,3434,0,0,0,0,6
32,Nevada,State,32417,14090,18327,0,0,0,0,0,0
33,New Hampshire,State,196757,80715,115404,465,173,0,0,0,0
34,New Jersey,State,1549381,616517,926050,4897,1257,500,160,0,0
35,New Mexico,State,118014,48211,69645,0,158,0,0,0,0
36,New York,State,4405626,2089863,2193344,107332,10876,4211,0,0,0
37,North Carolina,State,635150,286227,348923,0,0,0,0,0,0
38,North Dakota,State,239867,106648,131441,936,842,0,0,0,0
39,Ohio,State,2508346,864210,1627546,8683,2836,1515,3556,0,0
40,Oklahoma,State,618427,219174,394046,3924,0,0,0,1283,0
41,Oregon,State,319942,109223,205341,2720,1094,1564,0,0,0
42,Pennsylvania,State,3150610,1067586,2055382,18647,4726,380,3875,0,14
44,Rhode Island,State,237194,118973,117522,0,283,416,0,0,0
45,South Carolina,State,68605,62700,5858,47,0,0,0,0,0
46,South Dakota,State,261865,102660,157603,443,232,0,0,927,0
47,Tennessee,State,363473,167343,195388,631,111,0,0,0,0
48,Texas,State,708999,341032,367036,722,209,0,0,0,0
49,Utah,State,176603,80985,94618,954,46,0,0,0,0
50,Vermont,State,135191,44440,90404,0,0,0,338,0,9
51,Virginia,State,305358,140146,164609,250,173,180,0,0,0
53,Washington,State,500840,156772,335844,2615,1541,4068,0,0,0
54,West Virginia,State,642752,263784,375551,1313,401,0,1703,0,0
55,Wisconsin,State,1016831,450259,544205,18213,1528,381,2245,0,0
56,Wyoming,State,82835,29299,52748,788,0,0,0,0,0
