FIPS,Geographic Name,Geographic Subtype,Total Vote,Franklin Roosevelt,Herbert Hoover,Norman Thomas,William Foster,William Upshaw,William Harvey,Verne Reynolds,Jacob Coxey,John Zahnd,Write-ins,James Cox,No Candidate
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12
1,Alabama,State,245354,207910,34675,2030,726,13,0,0,0,0,0,0,0
4,Arizona,State,118251,79264,36104,2618,256,0,0,0,0,0,9,0,0
5,Arkansas,State,220562,189602,28467,1269,175,0,1049,0,0,0,0,0,0
6,California,State,2267966,1324157,847902,63299,1023,20637,9827,0,0,0,1121,0,0
8,Colorado,State,457696,250877,189617,13591,787,1928,0,427,469,0,0,0,0
9,Connecticut,State,594183,281632,288420,20480,1364,0,0,2287,0,0,0,0,0
10,Delaware,State,112901,54319,57073,1376,133,0,0,0,0,0,0,0,0
12,Florida,State,276252,206307,69170,775,0,0,0,0,0,0,0,0,0
13,Georgia,State,255590,234118,19863,461,23,1125,0,0,0,0,0,0,0
16,Idaho,State,186625,109479,71417,526,491,0,4712,0,0,0,0,0,0
17,Illinois,State,3407926,1882304,1432756,67258,15582,6388,0,3638,0,0,0,0,0
18,Indiana,State,1576927,862054,677184,21388,2187,10399,0,2070,0,1645,0,0,0
19,Iowa,State,1036687,598019,414433,20467,559,2111,0,0,1094,0,4,0,0
20,Kansas,State,791978,424204,349498,18276,0,0,0,0,0,0,0,0,0
21,Kentucky,State,983063,580574,394716,3853,272,2252,0,1396,0,0,0,0,0
22,Louisiana,State,268804,249418,18853,0,0,0,0,0,0,0,533,0,0
23,Maine,State,298444,128907,166631,2489,162,0,0,255,0,0,0,0,0
24,Maryland,State,511054,314314,184184,10489,1031,0,0,1036,0,0,0,0,0
25,Massachusetts,State,1580114,800148,736959,34305,4821,1142,0,2668,0,0,71,0,0
26,Michigan,State,1664765,871700,739894,39205,9318,2893,217,1401,137,0,0,0,0
27,Minnesota,State,1002843,600806,363959,25476,6101,0,0,770,5731,0,0,0,0
28,Mississippi,State,146034,140168,5180,686,0,0,0,0,0,0,0,0,0
29,Missouri,State,1609894,1025406,564713,16374,568,2429,0,404,0,0,0,0,0
30,Montana,State,216479,127286,78078,7891,1775,0,1449,0,0,0,0,0,0
31,Nebraska,State,570137,359082,201177,9876,0,0,0,0,0,0,2,0,0
32,Nevada,State,41430,28756,12674,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,205520,100680,103629,947,264,0,0,0,0,0,0,0,0
34,New Jersey,State,1630063,806630,775684,42998,2915,774,0,1062,0,0,0,0,0
35,New Mexico,State,151606,95089,54217,1776,135,0,389,0,0,0,0,0,0
36,New York,State,4688614,2534959,1937963,177397,27956,0,0,10339,0,0,0,0,0
37,North Carolina,State,711501,497566,208344,5591,0,0,0,0,0,0,0,0,0
38,North Dakota,State,256290,178350,71772,3521,830,0,1817,0,0,0,0,0,0
39,Ohio,State,2609728,1301695,1227319,64094,7231,7421,0,1968,0,0,0,0,0
40,Oklahoma,State,704633,516468,188165,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,368808,213871,136019,15450,1681,0,0,1730,0,0,57,0,0
42,Pennsylvania,State,2859177,1295948,1453540,91223,5659,11369,0,659,0,0,53,726,0
44,Rhode Island,State,266170,146604,115266,3138,546,183,0,433,0,0,0,0,0
45,South Carolina,State,104407,102347,1978,82,0,0,0,0,0,0,0,0,0
46,South Dakota,State,288438,183515,99212,1551,364,463,3333,0,0,0,0,0,0
47,Tennessee,State,390256,259473,126752,1796,237,1998,0,0,0,0,0,0,0
48,Texas,State,863426,760348,97959,4450,207,0,324,0,0,0,34,0,104
49,Utah,State,206578,116750,84795,4087,946,0,0,0,0,0,0,0,0
50,Vermont,State,136980,56266,78984,1533,195,0,0,0,0,0,2,0,0
51,Virginia,State,297942,203979,89637,2382,86,1843,0,0,0,0,0,15,0
53,Washington,State,614814,353260,208645,17080,2972,1540,30308,1009,0,0,0,0,0
54,West Virginia,State,743774,405124,330731,5133,444,2342,0,0,0,0,0,0,0
55,Wisconsin,State,1114808,707410,347741,53379,3112,2672,0,494,0,0,0,0,0
56,Wyoming,State,96962,54370,39583,2829,180,0,0,0,0,0,0,0,0
