FIPS,Geographic Name,Geographic Subtype,Total Vote,Franklin Roosevelt,Alfred Landon,William Lemke,Norman Thomas,Earl Browder,D. Leigh Colvin,John Aiken,William Pelley,Write-ins
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9
1,Alabama,State,275744,238196,35358,551,242,678,719,0,0,0
4,Arizona,State,124163,86722,33433,3307,317,0,384,0,0,0
5,Arkansas,State,179423,146765,32039,4,446,169,0,0,0,0
6,California,State,2638882,1766836,836431,0,11331,10877,12917,0,0,490
8,Colorado,State,488684,295021,181267,9962,1593,497,0,344,0,0
9,Connecticut,State,690723,382129,278685,21805,5683,1193,0,1228,0,0
10,Delaware,State,127603,69702,57236,442,172,51,0,0,0,0
12,Florida,State,327432,249117,78248,1,9,1,0,0,0,56
13,Georgia,State,293178,255364,36942,141,68,0,663,0,0,0
16,Idaho,State,199617,125683,66256,7678,0,0,0,0,0,0
17,Illinois,State,3956522,2282999,1570393,89439,7530,0,3439,1921,0,801
18,Indiana,State,1650897,934974,691570,19407,3856,1090,0,0,0,0
19,Iowa,State,1142733,621756,487977,29687,1373,506,1182,252,0,0
20,Kansas,State,865514,464520,397727,497,2770,0,0,0,0,0
21,Kentucky,State,926206,541944,369702,12501,632,204,929,294,0,0
22,Louisiana,State,329778,292894,36791,0,0,0,0,0,0,93
23,Maine,State,304240,126333,168823,7581,783,257,334,129,0,0
24,Maryland,State,624896,389612,231435,0,1629,915,0,1305,0,0
25,Massachusetts,State,1840357,942716,768613,118639,5111,2930,1032,1305,0,11
26,Michigan,State,1805098,1016794,699733,75795,8208,3384,579,600,0,5
27,Minnesota,State,1129975,698811,350461,74296,2872,2574,0,961,0,0
28,Mississippi,State,162142,157333,4467,0,342,0,0,0,0,0
29,Missouri,State,1828635,1111043,697891,14630,3454,417,908,292,0,0
30,Montana,State,230512,159690,63598,5549,1066,385,224,0,0,0
31,Nebraska,State,608023,347445,247731,12847,0,0,0,0,0,0
32,Nevada,State,43848,31925,11923,0,0,0,0,0,0,0
33,New Hampshire,State,218114,108460,104642,4819,0,193,0,0,0,0
34,New Jersey,State,1820437,1083850,720322,9407,3931,1639,926,362,0,0
35,New Mexico,State,169136,106037,61727,924,343,43,62,0,0,0
36,New York,State,5596398,3293222,2180670,0,86897,35609,0,0,0,0
37,North Carolina,State,839464,616141,223283,2,21,11,0,0,0,6
38,North Dakota,State,273716,163148,72751,36708,552,360,197,0,0,0
39,Ohio,State,3012589,1747140,1127855,132212,117,5251,0,14,0,0
40,Oklahoma,State,749740,501069,245122,0,2221,0,1328,0,0,0
41,Oregon,State,414021,266733,122706,21831,2143,104,4,500,0,0
42,Pennsylvania,State,4138426,2353987,1690200,67468,14599,4061,6687,1424,0,0
44,Rhode Island,State,311178,165238,125031,19569,0,411,0,929,0,0
45,South Carolina,State,115437,113791,1646,0,0,0,0,0,0,0
46,South Dakota,State,296452,160137,125977,10338,0,0,0,0,0,0
47,Tennessee,State,475538,327083,146520,296,686,319,634,0,0,0
48,Texas,State,849736,739952,104661,3281,1075,253,514,0,0,0
49,Utah,State,216677,150246,64555,1121,432,280,43,0,0,0
50,Vermont,State,143689,62124,81023,0,0,405,0,0,0,137
51,Virginia,State,334590,234980,98336,233,313,98,594,36,0,0
53,Washington,State,692338,459579,206892,17463,3496,1907,1041,362,1598,0
54,West Virginia,State,829945,502582,325358,0,832,0,1173,0,0,0
55,Wisconsin,State,1258560,802984,380828,60297,10626,2197,1071,557,0,0
56,Wyoming,State,103382,62624,38739,1653,200,91,75,0,0,0
