FIPS,Geographic Name,Geographic Subtype,Total Vote,Franklin Roosevelt,Wendell Willkie,Norman Thomas,Roger Babson,Earl Browder,John Aiken,Write-ins,Alfred Knutson
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8
1,Alabama,State,294219,250726,42184,100,700,509,0,0,0
4,Arizona,State,150039,95267,54030,0,742,0,0,0,0
5,Arkansas,State,200743,158622,42121,0,0,0,0,0,0
6,California,State,3268791,1877618,1351419,16506,9400,13586,0,262,0
8,Colorado,State,549004,265554,279576,1899,1597,378,0,0,0
9,Connecticut,State,781502,417621,361819,0,0,1091,971,0,0
10,Delaware,State,136374,74599,61440,115,220,0,0,0,0
12,Florida,State,485492,359334,126158,0,0,0,0,0,0
13,Georgia,State,312551,265194,46360,0,983,0,0,14,0
16,Idaho,State,235168,127842,106553,497,0,276,0,0,0
17,Illinois,State,4217935,2149934,2047240,10914,9190,0,0,657,0
18,Indiana,State,1782747,874063,899466,2075,6437,0,706,0,0
19,Iowa,State,1215430,578800,632370,0,2284,1524,452,0,0
20,Kansas,State,860297,364725,489169,2347,4056,0,0,0,0
21,Kentucky,State,970163,557322,410384,1014,1443,0,0,0,0
22,Louisiana,State,372305,319751,52446,0,0,0,0,108,0
23,Maine,State,320840,156478,163951,0,0,411,0,0,0
24,Maryland,State,660117,384546,269534,4093,11,1274,657,2,0
25,Massachusetts,State,2026993,1076522,939700,4091,1370,3806,1492,12,0
26,Michigan,State,2085929,1032991,1039917,7593,1795,2834,795,4,0
27,Minnesota,State,1251188,644196,596274,5454,0,2711,2553,0,0
28,Mississippi,State,175824,168267,7364,193,0,0,0,0,0
29,Missouri,State,1833729,958476,871009,2226,1809,0,209,0,0
30,Montana,State,247873,145698,99579,1443,664,489,0,0,0
31,Nebraska,State,615878,263677,352201,0,0,0,0,0,0
32,Nevada,State,53174,31945,21229,0,0,0,0,0,0
33,New Hampshire,State,235419,125292,110127,0,0,0,0,0,0
34,New Jersey,State,1972552,1016808,945475,2433,873,6508,455,0,0
35,New Mexico,State,183258,103699,79315,144,100,0,0,0,0
36,New York,State,6313897,3251918,3027478,18950,3250,11289,121,891,0
37,North Carolina,State,822648,609015,213633,0,0,0,0,0,0
38,North Dakota,State,280775,124036,154590,1279,325,0,0,0,545
39,Ohio,State,3319912,1733139,1586773,0,0,0,0,0,0
40,Oklahoma,State,826212,474313,348872,0,3027,0,0,0,0
41,Oregon,State,481240,258415,219555,398,154,191,2487,40,0
42,Pennsylvania,State,4078714,2171035,1889848,10967,0,4519,1518,827,0
44,Rhode Island,State,321148,182182,138653,0,74,239,0,0,0
45,South Carolina,State,99832,95470,4360,0,2,0,0,0,0
46,South Dakota,State,308427,131362,177065,0,0,0,0,0,0
47,Tennessee,State,522823,351601,169153,463,1606,0,0,0,0
48,Texas,State,1124531,909974,212692,728,925,212,0,0,0
49,Utah,State,247819,154277,93151,200,0,191,0,0,0
50,Vermont,State,143062,64269,78371,0,0,411,0,11,0
51,Virginia,State,346607,235961,109363,282,882,71,48,0,0
53,Washington,State,793833,462145,322123,4586,1686,2626,667,0,0
54,West Virginia,State,868076,495662,372414,0,0,0,0,0,0
55,Wisconsin,State,1405522,704821,679206,15071,2148,2394,1882,0,0
56,Wyoming,State,112240,59287,52633,148,172,0,0,0,0
