FIPS,Geographic Name,Geographic Subtype,Total Vote,Franklin Roosevelt,Thomas Dewey,No Candidate,Norman Thomas,Claude Watson,Edward Teichert,No Candidate,Write-ins,Gerald Smith
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9
1,Alabama,State,244743,198918,44540,0,190,1095,0,0,0,0
4,Arizona,State,137634,80926,56287,0,0,421,0,0,0,0
5,Arkansas,State,212954,148965,63551,0,438,0,0,0,0,0
6,California,State,3520875,1988564,1512965,0,2515,14770,180,0,1881,0
8,Colorado,State,505039,234331,268731,0,1977,0,0,0,0,0
9,Connecticut,State,831990,435146,390527,0,5097,0,1220,0,0,0
10,Delaware,State,125361,68166,56747,0,154,294,0,0,0,0
12,Florida,State,482592,339377,143215,0,0,0,0,0,0,0
13,Georgia,State,328109,268187,59880,0,6,36,0,0,0,0
16,Idaho,State,208321,107399,100137,0,282,503,0,0,0,0
17,Illinois,State,4036061,2079479,1939314,0,180,7411,9677,0,0,0
18,Indiana,State,1672091,781403,875891,0,2223,12574,0,0,0,0
19,Iowa,State,1052599,499876,547267,0,1511,3752,193,0,0,0
20,Kansas,State,733776,287458,442096,0,1613,2609,0,0,0,0
21,Kentucky,State,867921,472589,392448,0,535,2023,326,0,0,0
22,Louisiana,State,349383,281564,67750,0,0,0,0,0,69,0
23,Maine,State,296400,140631,155434,0,0,0,335,0,0,0
24,Maryland,State,608439,315490,292949,0,0,0,0,0,0,0
25,Massachusetts,State,1960665,1035296,921350,0,0,973,2780,0,266,0
26,Michigan,State,2205223,1106899,1084423,0,4598,6503,1264,0,6,1530
27,Minnesota,State,1125529,589864,527416,0,5073,0,3176,0,0,0
28,Mississippi,State,180080,168479,11601,0,0,0,0,0,0,0
29,Missouri,State,1572474,807804,761524,0,1751,1175,220,0,0,0
30,Montana,State,207355,112556,93163,0,1296,340,0,0,0,0
31,Nebraska,State,563126,233246,329880,0,0,0,0,0,0,0
32,Nevada,State,54234,29623,24611,0,0,0,0,0,0,0
33,New Hampshire,State,229627,119663,109916,0,48,0,0,0,0,0
34,New Jersey,State,1963761,987874,961335,0,3358,4255,6939,0,0,0
35,New Mexico,State,152225,81389,70688,0,0,148,0,0,0,0
36,New York,State,6316817,3304238,2987647,0,10553,0,14352,0,27,0
37,North Carolina,State,790554,527399,263155,0,0,0,0,0,0,0
38,North Dakota,State,220171,100144,118535,0,943,549,0,0,0,0
39,Ohio,State,3153056,1570763,1582293,0,0,0,0,0,0,0
40,Oklahoma,State,722636,401549,319424,0,0,1663,0,0,0,0
41,Oregon,State,480147,248635,225365,0,3785,2362,0,0,0,0
42,Pennsylvania,State,3794793,1940479,1835054,0,11721,5750,1789,0,0,0
44,Rhode Island,State,299276,175356,123487,0,0,433,0,0,0,0
45,South Carolina,State,103375,90601,4610,0,0,365,0,7799,0,0
46,South Dakota,State,232076,96711,135365,0,0,0,0,0,0,0
47,Tennessee,State,510692,308707,200311,0,792,882,0,0,0,0
48,Texas,State,1150331,821605,191425,135439,594,1017,0,0,0,251
49,Utah,State,248319,150088,97891,0,340,0,0,0,0,0
50,Vermont,State,125361,53820,71527,0,0,0,0,0,14,0
51,Virginia,State,388485,242276,145243,0,417,459,90,0,0,0
53,Washington,State,856328,486774,361689,0,3824,2396,1645,0,0,0
54,West Virginia,State,715596,392777,322819,0,0,0,0,0,0,0
55,Wisconsin,State,1339152,650413,674532,0,13205,0,1002,0,0,0
56,Wyoming,State,101340,49419,51921,0,0,0,0,0,0,0
