FIPS,Geographic Name,Geographic Subtype,Total Vote,Harry Truman,Thomas Dewey,J. Strom Thurmond,Henry Wallace,Norman Thomas,Claude Watson,Edward Teichert,Farrell Dobbs,Write-ins
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9
1,Alabama,State,214980,0,40930,171443,1522,0,1085,0,0,0
4,Arizona,State,177065,95251,77597,0,3310,0,786,121,0,0
5,Arkansas,State,242475,149659,50959,40068,751,1037,1,0,0,0
6,California,State,4021538,1913134,1895269,1228,190381,3459,16926,195,133,813
8,Colorado,State,515237,267288,239714,0,6115,1678,0,214,228,0
9,Connecticut,State,883518,423297,437754,0,13713,6964,0,1184,606,0
10,Delaware,State,139073,67813,69588,0,1050,250,343,29,0,0
12,Florida,State,577643,281988,194280,89755,11620,0,0,0,0,0
13,Georgia,State,418764,254646,76691,85055,1636,3,732,0,0,1
16,Idaho,State,214816,107370,101514,0,4972,332,628,0,0,0
17,Illinois,State,3984046,1994715,1961103,0,0,11522,11959,3118,0,1629
18,Indiana,State,1656214,807833,821079,0,9649,2179,14711,763,0,0
19,Iowa,State,1038272,522380,494018,0,12125,1829,3382,4274,256,8
20,Kansas,State,788819,351902,423039,0,4603,2807,6468,0,0,0
21,Kentucky,State,822658,466756,341210,10411,1567,1284,1245,185,0,0
22,Louisiana,State,416336,136344,72657,204290,3035,0,0,0,0,10
23,Maine,State,264789,111916,150234,0,1884,548,0,206,0,1
24,Maryland,State,596735,286521,294814,2476,9983,2941,0,0,0,0
25,Massachusetts,State,2107146,1151788,909370,0,38157,0,1663,5535,0,633
26,Michigan,State,2109609,1003448,1038595,0,46515,6063,13052,1263,672,1
27,Minnesota,State,1212226,692966,483617,0,27866,4646,0,2525,606,0
28,Mississippi,State,192190,19384,5043,167538,225,0,0,0,0,0
29,Missouri,State,1578628,917315,655039,42,3998,2222,8,3,0,1
30,Montana,State,224278,119071,96770,0,7313,695,429,0,0,0
31,Nebraska,State,488940,224165,264774,0,0,0,0,0,0,1
32,Nevada,State,62117,31291,29357,0,1469,0,0,0,0,0
33,New Hampshire,State,231440,107995,121299,7,1970,86,0,83,0,0
34,New Jersey,State,1949555,895455,981124,0,42683,10521,10593,3354,5825,0
35,New Mexico,State,187063,105464,80303,0,1037,83,127,49,0,0
36,New York,State,6178502,2780204,2841163,16,509559,40879,0,2729,2675,1277
37,North Carolina,State,791209,459070,258572,69652,3915,0,0,0,0,0
38,North Dakota,State,220716,95812,115139,374,8391,1000,0,0,0,0
39,Ohio,State,2936071,1452791,1445684,0,37596,0,0,0,0,0
40,Oklahoma,State,721599,452782,268817,0,0,0,0,0,0,0
41,Oregon,State,524080,243147,260904,0,14978,5051,0,0,0,0
42,Pennsylvania,State,3735148,1752426,1902197,0,55161,11325,10338,1461,2133,107
44,Rhode Island,State,327702,188736,135787,0,2619,429,0,131,0,0
45,South Carolina,State,142571,34423,5386,102607,154,1,0,0,0,0
46,South Dakota,State,250105,117653,129651,0,2801,0,0,0,0,0
47,Tennessee,State,550283,270402,202914,73815,1864,1288,0,0,0,0
48,Texas,State,1249577,824235,303467,113776,3920,919,3115,0,0,145
49,Utah,State,276305,149151,124402,0,2679,0,0,0,73,0
50,Vermont,State,123382,45557,75926,0,1279,585,0,0,0,35
51,Virginia,State,419256,200786,172070,43393,2047,726,0,234,0,0
53,Washington,State,905059,476165,386315,0,31692,3534,6117,1133,103,0
54,West Virginia,State,748750,429188,316251,0,3311,0,0,0,0,0
55,Wisconsin,State,1276800,647310,590959,0,25282,12547,0,399,303,0
56,Wyoming,State,101425,52354,47947,0,931,137,0,56,0,0
