FIPS,Geographic Name,Geographic Subtype,Total Vote,Adlai Stevenson,Dwight Eisenhower,Vincent Hallinan,Stuart Hamblen,Eric Hass,Darlington Hoopes,Douglas MacArthur,Farrell Dobbs,Write-ins,Henry Krajewski
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10
1,Alabama,State,426120,275075,149231,0,1814,0,0,0,0,0,0
4,Arizona,State,260570,108528,152042,0,0,0,0,0,0,0,0
5,Arkansas,State,404800,226300,177155,0,886,1,0,458,0,0,0
6,California,State,5341603,2257646,3035587,24692,16117,273,206,3504,0,3578,0
8,Colorado,State,630103,245504,379782,1919,0,352,365,2181,0,0,0
9,Connecticut,State,1096911,481649,611012,1466,0,535,2244,0,0,5,0
10,Delaware,State,174025,83315,90059,155,234,242,20,0,0,0,0
12,Florida,State,989337,444950,544036,0,0,0,0,0,0,351,0
13,Georgia,State,655803,456823,198979,0,0,0,0,0,0,1,0
16,Idaho,State,276231,95081,180707,443,0,0,0,0,0,0,0
17,Illinois,State,4481058,2013920,2457327,0,0,9363,0,0,0,448,0
18,Indiana,State,1955325,801530,1136259,1222,15335,979,0,0,0,0,0
19,Iowa,State,1268773,451513,808906,5085,2882,139,219,0,0,29,0
20,Kansas,State,896166,273296,616302,0,6038,0,530,0,0,0,0
21,Kentucky,State,993148,495729,495029,336,1161,893,0,0,0,0,0
22,Louisiana,State,651952,345027,306925,0,0,0,0,0,0,0,0
23,Maine,State,351786,118806,232353,332,0,156,138,0,0,1,0
24,Maryland,State,902074,395337,499424,7313,0,0,0,0,0,0,0
25,Massachusetts,State,2383398,1083525,1292325,4636,886,1957,0,0,0,69,0
26,Michigan,State,2798592,1230657,1551529,3922,10331,1495,0,0,655,3,0
27,Minnesota,State,1379483,608458,763211,2666,2147,2383,0,0,618,0,0
28,Mississippi,State,285532,172566,112966,0,0,0,0,0,0,0,0
29,Missouri,State,1892062,929830,959429,987,885,169,227,535,0,0,0
30,Montana,State,265037,106213,157394,723,548,0,159,0,0,0,0
31,Nebraska,State,609660,188057,421603,0,0,0,0,0,0,0,0
32,Nevada,State,82190,31688,50502,0,0,0,0,0,0,0,0
33,New Hampshire,State,272950,106663,166287,0,0,0,0,0,0,0,0
34,New Jersey,State,2419554,1015902,1374613,5589,989,5815,8593,0,3850,0,4203
35,New Mexico,State,238608,105661,132170,225,297,35,0,220,0,0,0
36,New York,State,7128241,3104601,3952815,64211,0,1560,2664,0,2212,178,0
37,North Carolina,State,1210910,652803,558107,0,0,0,0,0,0,0,0
38,North Dakota,State,270127,76694,191712,344,302,0,0,1075,0,0,0
39,Ohio,State,3700758,1600367,2100391,0,0,0,0,0,0,0,0
40,Oklahoma,State,948984,430939,518045,0,0,0,0,0,0,0,0
41,Oregon,State,695059,270579,420815,3665,0,0,0,0,0,0,0
42,Pennsylvania,State,4580969,2146269,2415789,4222,8951,1377,2698,0,1508,155,0
44,Rhode Island,State,414498,203293,210935,187,0,83,0,0,0,0,0
45,South Carolina,State,341086,173004,168082,0,0,0,0,0,0,0,0
46,South Dakota,State,294283,90426,203857,0,0,0,0,0,0,0,0
47,Tennessee,State,892553,443710,446147,885,1432,0,0,379,0,0,0
48,Texas,State,2075946,969228,1102878,294,1983,0,0,1563,0,0,0
49,Utah,State,329554,135364,194190,0,0,0,0,0,0,0,0
50,Vermont,State,153557,43355,109717,282,0,0,185,0,0,18,0
51,Virginia,State,619689,268677,349037,311,0,1160,504,0,0,0,0
53,Washington,State,1102708,492845,599107,2460,0,633,254,7290,119,0,0
54,West Virginia,State,873548,453578,419970,0,0,0,0,0,0,0,0
55,Wisconsin,State,1607370,622175,979744,2174,0,770,1157,0,1350,0,0
56,Wyoming,State,129251,47934,81047,0,194,36,40,0,0,0,0
