FIPS,Geographic Name,Geographic Subtype,Total Vote,Adlai Stevenson,Dwight Eisenhower,Unpledged Elector,T. Coleman Andrews,Eric Hass,Enoch Holtwick,Farrell Dobbs,Write-in,Harry Byrd,Darlington Hoopes,Henry Krajewski,Gerald Smith
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12
1,Alabama,State,496871,280844,195694,20323,0,0,0,0,10,0,0,0,0
4,Arizona,State,290173,112880,176990,0,303,0,0,0,0,0,0,0,0
5,Arkansas,State,406572,213277,186287,0,7008,0,0,0,0,0,0,0,0
6,California,State,5466355,2420135,3027668,0,6087,300,11119,96,819,0,123,0,8
8,Colorado,State,663074,263997,394479,0,759,3308,0,0,0,0,531,0,0
9,Connecticut,State,1117121,405079,711837,0,0,0,0,0,205,0,0,0,0
10,Delaware,State,177988,79421,98057,0,0,110,400,0,0,0,0,0,0
12,Florida,State,1124220,480371,643849,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,663480,441094,216652,0,0,0,0,0,5734,0,0,0,0
16,Idaho,State,272989,105868,166979,0,0,0,0,0,142,0,0,0,0
17,Illinois,State,4407407,1775682,2623327,0,0,8342,0,0,56,0,0,0,0
18,Indiana,State,1974607,783908,1182811,0,0,1334,6554,0,0,0,0,0,0
19,Iowa,State,1234564,501858,729187,0,3202,125,0,0,0,0,192,0,0
20,Kansas,State,866243,296317,566878,0,0,0,3048,0,0,0,0,0,0
21,Kentucky,State,1053805,476453,572192,0,0,358,2145,0,0,2657,0,0,0
22,Louisiana,State,617544,243977,329047,44520,0,0,0,0,0,0,0,0,0
23,Maine,State,351706,102468,249238,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,932351,372613,559738,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2348506,948190,1393197,0,0,5573,1205,0,341,0,0,0,0
26,Michigan,State,3080468,1359898,1713647,0,0,0,6923,0,0,0,0,0,0
27,Minnesota,State,1340005,617525,719302,0,0,2080,0,1098,0,0,0,0,0
28,Mississippi,State,248149,144498,60685,42966,0,0,0,0,0,0,0,0,0
29,Missouri,State,1832562,918273,914289,0,0,0,0,0,0,0,0,0,0
30,Montana,State,271171,116238,154933,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,577137,199029,378108,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,96689,40640,56049,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,266994,90364,176519,0,111,0,0,0,0,0,0,0,0
34,New Jersey,State,2484312,850337,1606942,0,5317,6736,9147,4004,0,0,0,1829,0
35,New Mexico,State,253926,106098,146788,0,364,69,607,0,0,0,0,0,0
36,New York,State,7093336,2750769,4340340,0,1027,150,0,0,968,0,82,0,0
37,North Carolina,State,1165592,590530,575062,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,253991,96742,156766,0,483,0,0,0,0,0,0,0,0
39,Ohio,State,3702265,1439655,2262610,0,0,0,0,0,0,0,0,0,0
40,Oklahoma,State,859350,385581,473769,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,735597,329204,406393,0,0,0,0,0,0,0,0,0,0
42,Pennsylvania,State,4576503,1981769,2585252,0,0,7447,0,2035,0,0,0,0,0
44,Rhode Island,State,387611,161790,225819,0,0,0,0,0,0,0,2,0,0
45,South Carolina,State,300583,136372,75700,88509,2,0,0,0,0,0,0,0,0
46,South Dakota,State,293857,122288,171569,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,939404,456507,462288,0,19820,0,789,0,0,0,0,0,0
48,Texas,State,1955545,859958,1080619,0,14591,0,0,0,377,0,0,0,0
49,Utah,State,333995,118364,215631,0,0,0,0,0,0,0,0,0,0
50,Vermont,State,152978,42549,110390,0,0,0,0,0,39,0,0,0,0
51,Virginia,State,697978,267760,386459,0,42964,351,0,0,0,0,444,0,0
53,Washington,State,1150889,523002,620430,0,0,7457,0,0,0,0,0,0,0
54,West Virginia,State,830831,381534,449297,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,1550558,586768,954844,0,6918,710,0,564,0,0,754,0,0
56,Wyoming,State,124127,49554,74573,0,0,0,0,0,0,0,0,0,0
