FIPS,Geographic Name,Geographic Subtype,Total Vote,John Kennedy,Richard Nixon,Unpledged Electors,Eric Hass,Rutherford Decker,Orval Faubus,Farrell Dobbs,Charles Sullivan,J. Bracken Lee,C. Benton Coiner,Write-ins,Lars Daly,Clennon King,Merritt Curtis
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14
1,Alabama,State,564473,318303,237981,0,0,2106,4367,0,0,0,0,231,0,1485,0
2,Alaska,State,60762,29809,30953,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,398491,176781,221241,0,469,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,428509,215049,184508,0,0,0,28952,0,0,0,0,0,0,0,0
6,California,State,6506578,3224099,3259722,0,1051,21706,0,0,0,0,0,0,0,0,0
8,Colorado,State,736246,330629,402242,0,2803,0,0,572,0,0,0,0,0,0,0
9,Connecticut,State,1222883,657055,565813,0,0,0,0,0,0,0,0,15,0,0,0
10,Delaware,State,196683,99590,96373,0,82,284,354,0,0,0,0,0,0,0,0
12,Florida,State,1544176,748700,795476,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,733349,458638,274472,0,0,0,0,0,0,0,0,239,0,0,0
15,Hawaii,State,184705,92410,92295,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,300450,138853,161597,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4757409,2377846,2368988,0,10560,0,0,0,0,0,0,15,0,0,0
18,Indiana,State,2135360,952358,1175120,0,1136,6746,0,0,0,0,0,0,0,0,0
19,Iowa,State,1273810,550565,722381,0,230,0,0,634,0,0,0,0,0,0,0
20,Kansas,State,928825,363213,561474,0,0,4138,0,0,0,0,0,0,0,0,0
21,Kentucky,State,1124462,521855,602607,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,807891,407339,230980,169572,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,421773,181159,240608,0,0,0,0,0,0,0,0,6,0,0,0
24,Maryland,State,1055349,565808,489538,0,0,0,0,0,0,0,0,3,0,0,0
25,Massachusetts,State,2469480,1487174,976750,0,3892,1633,0,0,0,0,0,31,0,0,0
26,Michigan,State,3318097,1687269,1620428,539,1718,2029,0,4347,0,0,0,0,1767,0,0
27,Minnesota,State,1541887,779933,757915,0,962,0,0,3077,0,0,0,0,0,0,0
28,Mississippi,State,298171,108362,73561,116248,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,1934422,972201,962221,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,277579,134891,141841,0,0,456,0,391,0,0,0,0,0,0,0
31,Nebraska,State,613095,232542,380553,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,107267,54880,52387,0,0,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,295761,137772,157989,0,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,2773111,1385415,1363324,0,4262,0,0,11402,0,8708,0,0,0,0,0
35,New Mexico,State,311107,156027,153733,0,570,777,0,0,0,0,0,0,0,0,0
36,New York,State,7291079,3830085,3446419,0,3,0,0,14319,0,0,0,253,0,0,0
37,North Carolina,State,1368556,713136,655420,0,0,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,278431,123963,154310,0,0,0,0,158,0,0,0,0,0,0,0
39,Ohio,State,4161859,1944248,2217611,0,0,0,0,0,0,0,0,0,0,0,0
40,Oklahoma,State,903150,370111,533039,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,776421,367402,408060,0,0,0,0,0,0,0,0,959,0,0,0
42,Pennsylvania,State,5006541,2556282,2439956,0,7185,0,0,2678,0,0,0,440,0,0,0
44,Rhode Island,State,405535,258032,147502,0,0,0,0,0,0,0,0,1,0,0,0
45,South Carolina,State,386688,198129,188558,0,0,0,0,0,0,0,0,1,0,0,0
46,South Dakota,State,306487,128070,178417,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,1051792,481453,556577,0,0,2458,11304,0,0,0,0,0,0,0,0
48,Texas,State,2311084,1167567,1121310,0,0,3870,7,0,18162,0,0,168,0,0,0
49,Utah,State,374709,169248,205361,0,0,0,0,100,0,0,0,0,0,0,0
50,Vermont,State,167324,69186,98131,0,0,0,0,0,0,0,0,7,0,0,0
51,Virginia,State,771449,362327,404521,0,397,0,0,0,0,0,4204,0,0,0,0
53,Washington,State,1241572,599298,629273,0,10895,0,0,705,0,0,0,0,0,0,1401
54,West Virginia,State,837781,441786,395995,0,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,1729082,830805,895175,0,1310,0,0,1792,0,0,0,0,0,0,0
56,Wyoming,State,140782,63331,77451,0,0,0,0,0,0,0,0,0,0,0,0
