FIPS,Geographic Name,Geographic Subtype,Total Vote,Lyndon Johnson,Barry Goldwater,Unpledged Elector,Eric Hass,Clifton DeBerry,E. Harold Munn,Write-in,John Kasper,Joseph Lightburn,Kirby Hensley
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10
1,Alabama,State,689817,0,479085,210732,0,0,0,0,0,0,0
2,Alaska,State,67259,44329,22930,0,0,0,0,0,0,0,0
4,Arizona,State,480770,237753,242535,0,482,0,0,0,0,0,0
5,Arkansas,State,560426,314197,243264,0,0,0,0,0,2965,0,0
6,California,State,7057586,4171877,2879108,0,489,378,305,5410,0,0,19
8,Colorado,State,776986,476024,296767,0,302,2537,1356,0,0,0,0
9,Connecticut,State,1218578,826269,390996,0,0,0,0,1313,0,0,0
10,Delaware,State,201320,122704,78078,0,113,0,425,0,0,0,0
11,District of Columbia,State,198597,169796,28801,0,0,0,0,0,0,0,0
12,Florida,State,1854481,948540,905941,0,0,0,0,0,0,0,0
13,Georgia,State,1139336,522557,616584,0,0,1,0,193,0,1,0
15,Hawaii,State,207271,163249,44022,0,0,0,0,0,0,0,0
16,Idaho,State,292477,148920,143557,0,0,0,0,0,0,0,0
17,Illinois,State,4702841,2796833,1905946,0,0,0,0,62,0,0,0
18,Indiana,State,2091606,1170848,911118,0,1374,0,8266,0,0,0,0
19,Iowa,State,1184539,733030,449148,0,182,159,1902,118,0,0,0
20,Kansas,State,857901,464028,386579,0,1901,0,5393,0,0,0,0
21,Kentucky,State,1046105,669659,372977,0,0,0,0,0,3469,0,0
22,Louisiana,State,896293,387068,509225,0,0,0,0,0,0,0,0
23,Maine,State,381221,262264,118701,0,0,0,0,256,0,0,0
24,Maryland,State,1116457,730912,385495,0,1,0,0,49,0,0,0
25,Massachusetts,State,2344798,1786422,549727,0,4755,0,3735,159,0,0,0
26,Michigan,State,3203102,2136615,1060152,0,1704,3817,669,145,0,0,0
27,Minnesota,State,1554462,991117,559624,0,2544,1177,0,0,0,0,0
28,Mississippi,State,409146,52618,356528,0,0,0,0,0,0,0,0
29,Missouri,State,1817879,1164344,653535,0,0,0,0,0,0,0,0
30,Montana,State,278628,164246,113032,0,0,332,499,0,519,0,0
31,Nebraska,State,584154,307307,276847,0,0,0,0,0,0,0,0
32,Nevada,State,135433,79339,56094,0,0,0,0,0,0,0,0
33,New Hampshire,State,288093,184064,104029,0,0,0,0,0,0,0,0
34,New Jersey,State,2846770,1867671,963843,0,7075,8181,0,0,0,0,0
35,New Mexico,State,327615,194017,131838,0,1217,0,543,0,0,0,0
36,New York,State,7166015,4913156,2243559,0,6085,3215,0,0,0,0,0
37,North Carolina,State,1424983,800139,624844,0,0,0,0,0,0,0,0
38,North Dakota,State,258389,149784,108207,0,0,224,174,0,0,0,0
39,Ohio,State,3969196,2498331,1470865,0,0,0,0,0,0,0,0
40,Oklahoma,State,932499,519834,412665,0,0,0,0,0,0,0,0
41,Oregon,State,786305,501017,282779,0,0,0,0,2509,0,0,0
42,Pennsylvania,State,4822690,3130954,1673657,0,5092,10456,0,2531,0,0,0
44,Rhode Island,State,390091,315463,74615,0,2,0,0,11,0,0,0
45,South Carolina,State,524756,215700,309048,0,0,0,0,8,0,0,0
46,South Dakota,State,293118,163010,130108,0,0,0,0,0,0,0,0
47,Tennessee,State,1143946,634947,508965,0,0,0,0,34,0,0,0
48,Texas,State,2626811,1663185,958566,0,0,0,0,0,0,5060,0
49,Utah,State,400310,219628,180682,0,0,0,0,0,0,0,0
50,Vermont,State,163089,108127,54942,0,0,0,0,20,0,0,0
51,Virginia,State,1042267,558038,481334,0,2895,0,0,0,0,0,0
53,Washington,State,1258556,779881,470366,0,7772,537,0,0,0,0,0
54,West Virginia,State,792040,538087,253953,0,0,0,0,0,0,0,0
55,Wisconsin,State,1691815,1050424,638495,0,1204,1692,0,0,0,0,0
56,Wyoming,State,142716,80718,61998,0,0,0,0,0,0,0,0
