FIPS,Geographic Name,Geographic Subtype,Total Vote,Hubert Humphrey,Richard Nixon,George Wallace,Henning Blomen,Dick Gregory,Fred Halstead,Eldridge Cleaver,Eugene McCarthy,E. Harold Munn,No Candidate,Write-ins,Ventura Chavez,Charlene Mitchell,Kirby Hensley
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14
1,Alabama,State,1049917,196579,146923,691425,0,0,0,0,0,4022,10960,8,0,0,0
2,Alaska,State,83035,35411,37600,10024,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,486936,170514,266721,46573,75,0,85,217,2751,0,0,0,0,0,0
5,Arkansas,State,609590,184901,189062,235627,0,0,0,0,0,0,0,0,0,0,0
6,California,State,7251587,3244318,3467664,487270,341,3230,0,27707,20721,59,0,17,0,260,0
8,Colorado,State,811199,335174,409345,60813,3016,1393,235,0,0,275,0,948,0,0,0
9,Connecticut,State,1256232,621561,556721,76650,0,0,0,0,0,0,0,1300,0,0,0
10,Delaware,State,214367,89194,96714,28459,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,170578,139566,31012,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,2187805,676794,886804,624207,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,1250266,334440,380111,535550,1,9,7,2,56,0,0,88,0,2,0
15,Hawaii,State,236218,141324,91425,3469,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,291183,89273,165369,36541,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4619749,2039814,2174774,390958,13878,0,0,0,0,0,0,325,0,0,0
18,Indiana,State,2123597,806659,1067885,243108,0,36,1293,0,0,4616,0,0,0,0,0
19,Iowa,State,1167931,476699,619106,66422,241,0,3377,1332,0,362,0,250,0,0,142
20,Kansas,State,872783,302996,478674,88921,0,0,0,0,0,2192,0,0,0,0,0
21,Kentucky,State,1055893,397541,462411,193098,0,0,2843,0,0,0,0,0,0,0,0
22,Louisiana,State,1097450,309615,257535,530300,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,392936,217312,169254,6370,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,1235039,538310,517995,178734,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2331752,1469218,766844,87088,6180,0,0,0,0,2369,0,53,0,0,0
26,Michigan,State,3306250,1593082,1370665,331968,1762,0,4099,4585,0,60,0,29,0,0,0
27,Minnesota,State,1588510,857738,658643,68931,285,0,808,935,585,0,0,170,0,415,0
28,Mississippi,State,654509,150644,88516,415349,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,1809502,791444,811932,206126,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,274404,114117,138835,20015,0,0,457,0,0,510,470,0,0,0,0
31,Nebraska,State,536851,170784,321163,44904,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,154218,60598,73188,20432,0,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,297299,130589,154903,11173,0,0,104,0,0,0,421,109,0,0,0
34,New Jersey,State,2875395,1264206,1325467,262187,6784,8084,8667,0,0,0,0,0,0,0,0
35,New Mexico,State,327281,130081,169692,25737,0,0,252,0,0,0,0,0,1519,0,0
36,New York,State,6790066,3378470,3007932,358864,8432,24517,11851,0,0,0,0,0,0,0,0
37,North Carolina,State,1587493,464113,627192,496188,0,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,247882,94769,138669,14244,0,0,128,0,0,38,0,34,0,0,0
39,Ohio,State,3959698,1700586,1791014,467495,120,372,69,0,0,19,0,0,0,23,0
40,Oklahoma,State,943086,301658,449697,191731,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,819622,358866,408433,49683,0,0,0,0,1496,0,0,1144,0,0,0
42,Pennsylvania,State,4747928,2259405,2090017,378582,4977,7821,4862,0,0,0,0,2264,0,0,0
44,Rhode Island,State,385000,246518,122359,15678,0,7,383,4,25,0,0,26,0,0,0
45,South Carolina,State,666982,197486,254062,215430,0,0,0,0,0,0,0,4,0,0,0
46,South Dakota,State,281264,118023,149841,13400,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,1248617,351233,472592,424792,0,0,0,0,0,0,0,0,0,0,0
48,Texas,State,3079406,1266804,1227844,584269,0,0,0,0,0,0,0,489,0,0,0
49,Utah,State,422568,156665,238728,26906,0,0,89,180,0,0,0,0,0,0,0
50,Vermont,State,161404,70255,85142,5104,0,0,295,0,0,0,579,29,0,0,0
51,Virginia,State,1361491,442387,590319,321833,4671,1680,0,0,0,601,0,0,0,0,0
53,Washington,State,1304281,616037,588510,96990,488,0,270,1609,0,0,0,0,0,377,0
54,West Virginia,State,754206,374091,307555,72560,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,1691538,748804,809997,127835,1338,0,1222,0,0,0,0,2342,0,0,0
56,Wyoming,State,127205,45173,70927,11105,0,0,0,0,0,0,0,0,0,0,0
