FIPS,Geographic Name,Geographic Subtype,Total Vote,George McGovern,Richard Nixon,John Schmitz,Benjamin Spock,Louis Fisher,Linda Jenness,Write-ins,Gus Hall,Evelyn Reed,E. Harold Munn,John Hospers,John Mahalchik,Gabriel Green
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13
1,Alabama,State,1006093,256923,728701,11918,0,0,0,0,0,0,8551,0,0,0
2,Alaska,State,95219,32967,55349,6903,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,653505,198540,402812,21208,0,0,30945,0,0,0,0,0,0,0
5,Arkansas,State,647666,198899,445751,3016,0,0,0,0,0,0,0,0,0,0
6,California,State,8367862,3475847,4602096,232554,55167,197,574,0,373,0,53,980,0,21
8,Colorado,State,953884,329980,597189,17269,2403,4361,666,6,432,0,467,1111,0,0
9,Connecticut,State,1384277,555498,810763,17239,0,0,0,777,0,0,0,0,0,0
10,Delaware,State,235516,92283,140357,2638,0,0,0,0,0,0,238,0,0,0
11,District of Columbia,State,163421,127627,35226,0,0,0,316,0,252,0,0,0,0,0
12,Florida,State,2583283,718117,1857759,0,0,0,0,7407,0,0,0,0,0,0
13,Georgia,State,1174772,289529,881496,812,0,3,0,2932,0,0,0,0,0,0
15,Hawaii,State,270274,101409,168865,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,310379,80826,199384,28869,903,0,397,0,0,0,0,0,0,0
17,Illinois,State,4723236,1913472,2788179,2471,0,12344,0,2229,4541,0,0,0,0,0
18,Indiana,State,2125529,708568,1405154,0,4544,1688,0,0,0,5575,0,0,0,0
19,Iowa,State,1225944,496206,706207,22056,0,195,488,321,272,0,0,0,0,199
20,Kansas,State,916095,270287,619812,21808,0,0,0,0,0,0,4188,0,0,0
21,Kentucky,State,1067499,371159,676446,17627,1118,0,685,0,464,0,0,0,0,0
22,Louisiana,State,1051491,298142,686852,52099,0,0,14398,0,0,0,0,0,0,0
23,Maine,State,417271,160584,256458,117,3,0,2,104,2,0,0,1,0,0
24,Maryland,State,1353812,505781,829305,18726,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2458756,1332540,1112078,2877,101,129,10600,342,46,0,0,43,0,0
26,Michigan,State,3490325,1459435,1961721,63321,0,2437,1603,598,1210,0,0,0,0,0
27,Minnesota,State,1741652,802346,898269,31407,2805,4261,940,962,662,0,0,0,0,0
28,Mississippi,State,645963,126782,505125,11598,0,0,2458,0,0,0,0,0,0,0
29,Missouri,State,1852589,698531,1154058,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,317603,120197,183976,13430,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,576289,169991,406298,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,181766,66016,115750,0,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,334059,116435,213724,3386,0,0,368,146,0,0,0,0,0,0
34,New Jersey,State,2997229,1102211,1845502,34378,5355,4544,2233,0,1263,0,0,0,1743,0
35,New Mexico,State,385931,141084,235606,8767,0,0,474,0,0,0,0,0,0,0
36,New York,State,7161830,2951084,4192778,0,0,4530,0,0,5641,7797,0,0,0,0
37,North Carolina,State,1518612,438705,1054889,25018,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,280514,100384,174109,5646,0,0,288,0,87,0,0,0,0,0
39,Ohio,State,4094787,1558889,2441827,80067,0,7107,0,460,6437,0,0,0,0,0
40,Oklahoma,State,1029900,247147,759025,23728,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,927946,392760,486686,46211,0,0,0,2289,0,0,0,0,0,0
42,Pennsylvania,State,4592105,1796951,2714521,70593,0,0,4639,2715,2686,0,0,0,0,0
44,Rhode Island,State,415808,194645,220383,25,5,0,729,19,0,0,0,2,0,0
45,South Carolina,State,677880,189270,478427,10166,0,0,0,17,0,0,0,0,0,0
46,South Dakota,State,307415,139945,166476,0,0,0,994,0,0,0,0,0,0,0
47,Tennessee,State,1201182,357293,813147,30373,0,0,0,369,0,0,0,0,0,0
48,Texas,State,3472714,1154291,2298896,7098,0,0,8664,3765,0,0,0,0,0,0
49,Utah,State,478476,126284,323643,28549,0,0,0,0,0,0,0,0,0,0
50,Vermont,State,186946,68174,117149,28,1010,0,296,288,1,0,0,0,0,0
51,Virginia,State,1457019,438887,988493,19721,0,9918,0,0,0,0,0,0,0,0
53,Washington,State,1470847,568334,837135,58906,2644,1102,623,0,566,0,0,1537,0,0
54,West Virginia,State,762399,277435,484964,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,1852890,810174,989430,47525,2701,998,0,893,663,506,0,0,0,0
56,Wyoming,State,145570,44358,100464,748,0,0,0,0,0,0,0,0,0,0
