FIPS,Geographic Name,Geographic Subtype,Total Vote,James Carter,Gerald Ford,Eugene McCarthy,Roger MacBride,Lester Maddox,Thomas Anderson,Peter Camejo,Gus Hall,Margaret Wright,Lyndon LaRouche,Write-ins,Benjamin Bubar,Julius Levin,Frank Zeidler,None o.t. Candidates,Ernest Miller,Frank Taylor
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17
1,Alabama,State,1182850,659170,504070,0,1481,9198,0,0,1954,0,0,308,6669,0,0,0,0,0
2,Alaska,State,123574,44058,71555,0,6785,0,0,0,0,0,0,1176,0,0,0,0,0,0
4,Arizona,State,742719,295602,418642,19229,7647,85,564,928,0,0,0,0,0,0,0,0,0,22
5,Arkansas,State,769396,499614,268753,647,0,0,382,0,0,0,0,0,0,0,0,0,0,0
6,California,State,7867117,3742284,3882244,58412,56388,51098,4565,17259,12766,41731,0,74,34,222,0,0,26,14
8,Colorado,State,1081135,460353,584367,26107,5330,0,0,1126,403,0,567,0,2882,0,0,0,0,0
9,Connecticut,State,1381526,647895,719261,0,0,7101,0,0,0,0,1789,5480,0,0,0,0,0,0
10,Delaware,State,235834,122596,109831,2437,0,0,645,0,0,0,136,0,103,86,0,0,0,0
11,District of Columbia,State,168830,137818,27873,0,274,0,0,545,219,0,157,1944,0,0,0,0,0,0
12,Florida,State,3150631,1636000,1469531,23643,103,0,21325,0,0,0,0,0,0,19,8,0,2,0
13,Georgia,State,1467458,979409,483743,991,175,1071,1168,43,3,0,1,847,0,2,2,0,3,0
15,Hawaii,State,291301,147375,140003,0,3923,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,340932,126549,204151,0,3558,5935,0,0,0,0,739,0,0,0,0,0,0,0
17,Illinois,State,4718833,2271295,2364269,55939,8057,0,0,3615,9250,0,2018,1968,0,2422,0,0,0,0
18,Indiana,State,2220362,1014714,1183958,0,0,0,14048,5695,0,0,1947,0,0,0,0,0,0,0
19,Iowa,State,1279306,619931,632863,20051,1452,0,3040,267,554,0,241,506,0,167,234,0,0,0
20,Kansas,State,957845,430421,502752,13185,3242,2118,4724,0,0,0,0,0,1403,0,0,0,0,0
21,Kentucky,State,1167142,615717,531852,6837,814,2328,8308,350,426,0,510,0,0,0,0,0,0,0
22,Louisiana,State,1278439,661365,587446,6588,3325,10058,0,2240,7417,0,0,0,0,0,0,0,0,0
23,Maine,State,483208,232279,236320,10874,10,8,27,1,14,0,0,179,3495,1,0,0,0,0
24,Maryland,State,1432273,759612,672661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2547558,1429475,1030276,65637,135,0,7555,8138,0,33,4922,1354,14,19,0,0,0,0
26,Michigan,State,3653749,1696714,1893742,47905,5406,0,0,1804,0,3504,1366,2160,0,1148,0,0,0,0
27,Minnesota,State,1949931,1070440,819395,35490,3529,0,13592,4149,1092,635,543,342,0,370,354,0,0,0
28,Mississippi,State,769360,381309,366846,4074,2787,4861,6678,2805,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,1953600,998387,927443,24029,0,0,0,0,0,0,0,3741,0,0,0,0,0,0
30,Montana,State,328734,149259,173703,0,0,0,5772,0,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,607668,233692,359705,9409,1482,3380,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,201876,92479,101273,0,1519,1497,0,0,0,0,0,0,0,0,0,5108,0,0
33,New Hampshire,State,339618,147635,185935,4095,936,0,0,161,0,0,186,604,0,66,0,0,0,0
34,New Jersey,State,3014472,1444653,1509688,32717,9449,7716,0,1184,1662,1044,1650,0,554,3686,469,0,0,0
