FIPS,Geographic Name,Geographic Subtype,Total Vote,James Carter,Ronald Reagan,John Anderson,Edward Clark,Barry Commoner,Gus Hall,John Rarick,Clifton DeBerry,Ellen McCormack,Maureen Smith,Deirdre Griswold,Write-ins,No Candidate,Benjamin Bubar,David McReynolds,Percy Greaves Jr.,Andrew Pulley,Richard Congress,Kurt Lynen,Bill Gahres,Frank Shelton,Martin Wendelken,Harley McLain
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23
1,Alabama,State,1341929,636730,654192,16481,13318,517,1629,15010,1303,0,0,0,0,0,1743,1006,0,0,0,0,0,0,0,0
2,Alaska,State,158445,41842,86112,11155,18479,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,873945,246843,529688,76952,18784,551,25,0,1100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,837582,398041,403164,22468,8970,2345,1244,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0
6,California,State,8587063,3083661,4524858,739833,148434,61063,847,9856,0,0,18116,15,26,0,36,0,87,231,0,0,0,0,0,0
8,Colorado,State,1184415,367973,652264,130633,25744,5614,487,0,0,0,0,0,0,0,1180,0,0,520,0,0,0,0,0,0
9,Connecticut,State,1406285,541732,677210,171807,8570,6130,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,235668,105754,111252,16288,1974,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0
11,District of Columbia,State,173889,130231,23313,16131,1104,1826,369,0,173,0,0,52,690,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,3687026,1419475,2046951,189692,30524,0,123,0,41,0,0,8,0,0,0,212,0,0,0,0,0,0,0,0
13,Georgia,State,1597467,890733,654168,36055,15627,0,0,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,303287,135879,130112,32021,3269,1548,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,437431,110192,290699,27058,8425,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4749721,1981413,2358049,346754,38939,10692,9711,0,1302,0,0,2257,604,0,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,2242033,844197,1255656,111639,19627,4852,702,0,610,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0
19,Iowa,State,1317661,508672,676026,115633,13123,2273,298,0,244,0,0,0,519,0,150,534,189,0,0,0,0,0,0,0
20,Kansas,State,979795,326150,566812,68231,14470,0,967,789,0,0,0,0,0,0,821,0,0,0,0,0,0,1555,0,0
21,Kentucky,State,1294627,616417,635274,31127,5531,1304,348,0,0,4233,0,0,0,0,0,0,0,393,0,0,0,0,0,0
22,Louisiana,State,1548591,708453,792853,26345,8240,1584,0,10333,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,523011,220974,238522,53327,5119,4394,591,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,1540496,726161,680606,119537,14192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2524298,1053802,1057631,382539,22038,2056,0,0,3735,0,0,19,2382,0,34,62,0,0,0,0,0,0,0,0
26,Michigan,State,3909725,1661532,1915225,275223,41597,11930,3262,5,0,0,0,30,891,0,9,0,21,0,0,0,0,0,0,0
27,Minnesota,State,2051953,954174,873241,174990,31592,8407,1184,0,711,0,0,698,281,6139,0,536,0,0,0,0,0,0,0,0
