FIPS,Geographic Name,Geographic Subtype,Total Vote,Walter Mondale,Ronald Reagan,David Bergland,Lyndon LaRouche Jr.,Sonia Johnson,Bob Richards,Dennis Serrette,Gus Hall,Melvin Mason,Larry Holmes,Write-In,Delmar Dennis,Edward Winn,Earl Dodge,None o.t. Candidates,John Anderson,Gerald Baker,Arthur Lowery
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
1,Alabama,State,1441713,551899,872849,9504,0,0,1401,659,4671,730,0,0,0,0,0,0,0,0,0
2,Alaska,State,207605,62007,138377,6378,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0
4,Arizona,State,1025897,333854,681416,10585,0,18,0,0,0,0,0,21,0,3,0,0,0,0,0
5,Arkansas,State,884406,338646,534774,2221,1890,960,1461,1291,1499,0,0,0,0,0,842,0,0,0,822
6,California,State,9505423,3922519,5467009,49951,0,26297,39265,16,0,0,0,366,0,0,0,0,0,0,0
8,Colorado,State,1295381,454974,821818,11257,4662,0,0,978,0,810,0,23,0,0,859,0,0,0,0
9,Connecticut,State,1466900,569597,890877,0,0,0,0,1374,4826,0,0,226,0,0,0,0,0,0,0
10,Delaware,State,254572,101656,152190,268,0,121,0,68,0,0,0,0,269,0,0,0,0,0,0
11,District of Columbia,State,211288,180408,29009,279,127,0,0,165,257,127,107,809,0,0,0,0,0,0,0
12,Florida,State,4180051,1448816,2730350,754,0,58,0,0,34,7,0,32,0,0,0,0,0,0,0
13,Georgia,State,1776093,706628,1068722,151,34,4,95,2,1,10,2,433,4,0,0,1,3,0,3
15,Hawaii,State,335846,147154,185050,2167,654,0,0,0,821,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,411144,108510,297523,2823,0,0,2288,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4819088,2086499,2707103,10086,0,2716,0,2386,4672,2132,0,862,0,2632,0,0,0,0,0
18,Indiana,State,2233069,841481,1377230,6741,0,0,0,0,0,0,0,0,7617,0,0,0,0,0,0
19,Iowa,State,1319805,605620,703088,1844,6248,0,0,463,286,313,0,1051,0,0,0,0,0,892,0
20,Kansas,State,1021991,333149,677296,3329,0,0,3564,2544,0,0,0,0,0,0,2109,0,0,0,0
21,Kentucky,State,1370461,539589,822782,0,1777,599,0,350,327,3129,0,0,429,0,0,0,1479,0,0
22,Louisiana,State,1706822,651586,1037299,1876,3552,9502,1310,533,0,1164,0,0,0,0,0,0,0,0,0
23,Maine,State,553144,214515,336500,0,0,0,0,755,1292,0,0,82,0,0,0,0,0,0,0
24,Maryland,State,1675873,787935,879918,5721,0,0,0,656,898,0,745,0,0,0,0,0,0,0,0
25,Massachusetts,State,2559453,1239606,1310936,0,0,18,0,7998,0,0,0,892,0,0,3,0,0,0,0
26,Michigan,State,3801658,1529638,2251571,10055,3862,1191,0,665,1048,1049,1416,602,0,561,0,0,0,0,0
27,Minnesota,State,2084449,1036364,1032603,2996,3865,1219,2377,232,630,3180,0,723,0,260,0,0,0,0,0
28,Mississippi,State,940192,352192,581477,2336,1001,0,629,356,0,1032,1169,0,0,0,0,0,0,0,0
29,Missouri,State,2122771,848583,1274188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,384377,146742,232450,5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,652090,187866,460054,2079,0,0,0,1025,0,1066,0,0,0,0,0,0,0,0,0
32,Nevada,State,286667,91655,188770,2292,0,0,0,0,0,0,0,0,0,0,0,3950,0,0,0
33,New Hampshire,State,388954,120395,267051,735,468,0,0,305,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,3217862,1261323,1933630,6416,0,1247,0,2293,1564,1264,8404,0,0,1721,0,0,0,0,0
35,New Mexico,State,514370,201769,307101,4459,0,455,0,155,0,224,0,1,0,0,206,0,0,0,0
36,New York,State,6806810,3119609,3664763,11949,0,0,0,3200,4226,0,2226,837,0,0,0,0,0,0,0
37,North Carolina,State,2175361,824287,1346481,3794,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0
38,North Dakota,State,308971,104429,200336,703,1278,368,1077,152,169,239,0,0,0,0,220,0,0,0,0
39,Ohio,State,4547619,1825440,2678560,5886,10693,0,0,12090,4438,4344,2565,34,0,3565,4,0,0,0,0
40,Oklahoma,State,1255676,385080,861530,9066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,1226527,536479,685700,0,0,0,0,0,0,0,0,4348,0,0,0,0,0,0,0
42,Pennsylvania,State,4844903,2228131,2584323,6982,0,21628,0,0,1780,0,0,0,0,2059,0,0,0,0,0
44,Rhode Island,State,410492,197106,212080,277,0,240,510,49,75,61,91,3,0,0,0,0,0,0,0
45,South Carolina,State,968540,344470,615539,4360,0,0,0,681,0,0,0,0,3490,0,0,0,0,0,0
46,South Dakota,State,317867,116113,200267,0,0,0,0,1150,0,337,0,0,0,0,0,0,0,0,0
47,Tennessee,State,1711993,711714,990212,3072,1852,978,1763,524,1036,715,0,127,0,0,0,0,0,0,0
48,Texas,State,5397571,1949276,3433428,0,14613,87,0,41,126,0,0,0,0,0,0,0,0,0,0
49,Utah,State,629656,155369,469105,2447,0,844,0,220,184,142,0,0,1345,0,0,0,0,0,0
50,Vermont,State,234561,95730,135865,1002,423,264,0,323,115,127,0,712,0,0,0,0,0,0,0
51,Virginia,State,2146635,796250,1337078,0,13307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington,State,1883910,807352,1051670,8844,4712,1891,5724,1654,814,608,641,0,0,0,0,0,0,0,0
54,West Virginia,State,735742,328125,405483,0,0,0,996,493,0,645,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,2212016,995847,1198800,4884,3791,1456,3864,1007,597,445,619,706,0,0,0,0,0,0,0
56,Wyoming,State,188968,53370,133241,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
