FIPS,Geographic Name,Geographic Subtype,Total Vote,Michael Dukakis,George Bush,Ron Paul,Lenora Fulani,David Duke,Eugene McCarthy,James Griffen,Lyndon LaRouche,William Marra,Write-In,Edward Winn,James Warren,Herbert Lewin,Earl Dodge,Larry Holmes,None o.t. Candidates,Willa Kenoyer,Delmar Dennis,Jack Herer,Louis Youngkeit,John Martin
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21
1,Alabama,State,1378476,549506,815576,8460,3311,0,0,0,0,0,506,461,656,0,0,0,0,0,0,0,0,0
2,Alaska,State,200116,72584,119251,5484,1024,0,0,0,816,0,957,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,1171873,454029,702541,13351,1662,113,159,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
5,Arkansas,State,827738,349237,466578,3297,2161,5146,0,0,0,0,0,0,0,0,1319,0,0,0,0,0,0,0
6,California,State,9887064,4702233,5054917,70105,31180,483,234,27818,0,0,25,0,0,58,0,11,0,0,0,0,0,0
8,Colorado,State,1372394,621453,728177,15482,2539,139,0,0,0,0,0,0,0,0,4604,0,0,0,0,0,0,0
9,Connecticut,State,1443394,676584,750241,14071,2491,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,249891,108647,139639,1162,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,192877,159407,27590,554,2901,0,0,0,163,0,1553,208,123,0,0,0,0,142,0,0,0,236
12,Florida,State,4302313,1656701,2618885,19796,6655,249,0,0,0,0,13,0,0,0,0,0,0,14,0,0,0,0
13,Georgia,State,1809672,714792,1081331,8435,5099,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,354461,192364,158625,1999,1003,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,408968,147272,253881,5313,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4559120,2215940,2310939,14944,10276,0,0,0,0,0,0,7021,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,2168621,860643,1297763,0,10215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1225614,670557,545355,2494,540,755,0,0,3526,0,1613,235,205,0,0,0,0,334,0,0,0,0
20,Kansas,State,993044,422636,554049,12553,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,1322517,580368,734281,2118,1256,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,1628202,717460,883702,4115,2355,18612,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,555035,243569,307131,2700,1405,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,1714358,826304,876167,6748,5115,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2632805,1401406,1194644,24251,9561,0,0,0,0,0,2910,0,0,0,18,0,0,15,0,0,0,0
26,Michigan,State,3669163,1675783,1965486,18336,2513,60,2497,0,0,0,902,1958,819,0,5,804,0,0,0,0,0,0
27,Minnesota,State,2096790,1109471,962337,5109,1734,1529,5403,0,1702,0,3614,489,2155,0,0,0,0,0,1298,1949,0,0
28,Mississippi,State,931527,363921,557890,3329,2155,4232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,2093228,1001619,1084953,0,6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,365674,168936,190412,5047,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,662372,259646,398447,2536,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,350067,132738,206040,3520,835,0,0,0,0,0,0,0,0,0,0,0,6934,0,0,0,0,0
33,New Hampshire,State,450525,163696,281537,4502,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,3099553,1320352,1743192,8421,5139,2446,3454,0,0,0,0,691,2298,9953,0,1020,0,2587,0,0,0,0
35,New Mexico,State,521287,244497,270341,3268,2237,0,0,0,0,0,93,0,344,0,249,258,0,0,0,0,0,0
