FIPS,Geographic Name,Geographic Subtype,Total Vote,William Clinton,George Bush,H. Ross Perot,Andre Marrou,James Bo Gritz,Lenore Fulani,Howard Phillips,Dr. John Hagelin,Ron Daniels,Lyndon LaRouche Jr.,James Warren,Write-ins,Drew Bradford,Jack Herer,J. Quinn Brisben,Helen Halyard,None o.t. Candidates,John Yiamouyiannis,Ehlers,Earl Dodge,Jim Boren,Hem,Isabell Masters,Smith,Gloria LaRiva
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25
1,Alabama,State,1688060,690080,804283,183109,5737,0,2161,0,495,0,641,831,723,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,258506,78294,102000,73481,1378,1379,330,377,433,0,469,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,1487006,543050,572086,353741,6781,8146,917,0,2277,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,950653,505823,337324,99132,1261,819,1022,1437,764,0,762,0,0,0,0,0,0,0,554,0,472,956,0,327,0,0
6,California,State,11131721,5121325,3630574,2296006,48139,3077,0,12711,836,18597,180,115,149,0,0,0,0,0,0,0,0,0,0,12,0,0
8,Colorado,State,1569180,629681,562850,366010,8669,274,1608,0,47,0,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
9,Connecticut,State,1616332,682318,578313,348771,5391,72,1363,20,75,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,289735,126054,102313,59213,935,9,1105,2,6,0,9,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,227572,192619,20698,9681,467,0,1459,0,230,1186,260,105,676,0,0,191,0,0,0,0,0,0,0,0,0,0
12,Florida,State,5314392,2072698,2173310,1053067,15079,0,0,0,214,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,2321133,1008966,995252,309657,7110,78,44,7,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,372842,179310,136822,53003,1119,1452,720,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,482142,137013,202645,130395,1167,10281,613,0,24,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
