FIPS,Geographic Name,Geographic Subtype,Total Vote,William Clinton,Robert Dole,H. Ross Perot,Ralph Nader,Harry Browne,Howard Phillips,Dr. John Hagelin,Monica Moorehead,Marsha Feinland,Write-ins,Charles Collins,James Harris,None o.t. Candidates,Dennis Peron,Mary Cal Hollis,Jerome White,Diane Templin,Earl Dodge,A. Peter Crane,Just. Ralph Forbes,John Birrenback,Isabell Masters pHD,Steve Michael
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23
1,Alabama,State,1534349,662165,769044,92149,0,5290,2365,1697,0,0,1123,0,516,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,241620,80380,122746,26333,7597,2276,925,729,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,1404405,653288,622073,112072,2062,14358,347,153,0,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,884262,475171,325416,69884,3649,3076,2065,729,747,0,0,823,0,0,0,538,0,0,483,0,932,0,749,0
6,California,State,10019484,5119835,3828380,697847,237016,73600,21202,15403,0,25332,25,765,77,0,0,0,0,0,0,0,0,0,2,0
8,Colorado,State,1510704,671152,691848,99629,25070,12392,2813,2547,599,0,0,2809,244,0,0,669,0,557,375,0,0,0,0,0
9,Connecticut,State,1392614,735740,483109,139523,24321,5788,2425,1703,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,271084,140355,99062,28719,156,2052,348,274,0,0,116,0,1,0,0,1,0,0,0,0,0,0,0,0
11,District of Columbia,State,185726,158220,17339,3611,4780,588,0,283,0,0,648,0,257,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,5303794,2546870,2244536,483870,4101,23965,0,418,0,0,0,0,13,0,0,21,0,0,0,0,0,0,0,0
13,Georgia,State,2299071,1053849,1080843,146337,0,17870,145,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,360120,205012,113943,27358,10386,2493,358,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,491719,165443,256595,62518,0,3325,2230,1600,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4311391,2341744,1587021,346408,1447,22548,7606,4606,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Indiana,State,2135842,887424,1006693,224299,1121,15632,453,120,0,0,18,22,0,0,0,60,0,0,0,0,0,0,0,0
19,Iowa,State,1234075,620258,492644,105159,6550,2315,2229,3349,0,0,1240,0,331,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1074300,387659,583245,92639,914,4557,3519,1655,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,1388708,636614,623283,120396,701,4009,2204,1493,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,1783959,927837,712586,123293,4719,7499,3366,2981,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,605897,312788,186378,85970,15279,2996,1517,825,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,1780870,966207,681530,115812,2606,8765,3402,2517,0,0,20,6,0,0,0,4,0,0,0,0,0,0,1,0
25,Massachusetts,State,2556785,1571763,718107,227217,4734,20426,0,5184,3277,0,6012,0,0,0,0,61,0,0,4,0,0,0,0,0
26,Michigan,State,3848844,1989653,1481212,336670,2322,27670,539,4254,3153,0,1817,0,0,0,0,0,1554,0,0,0,0,0,0,0
27,Minnesota,State,2192640,1120438,766476,257704,24908,8271,3416,1808,0,0,2903,0,684,0,4898,0,347,0,0,0,0,787,0,0
28,Mississippi,State,893857,394022,439838,52222,0,2809,2314,1447,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,2158065,1025935,890016,217188,534,10522,11521,2287,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,407261,167922,179652,55229,0,2526,152,1754,0,0,5,20,0,0,0,1,0,0,0,0,0,0,0,0
31,Nebraska,State,677415,236761,363467,71278,0,2792,1928,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,464279,203974,199244,43986,4730,4460,1732,545,0,0,0,0,0,5608,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,499175,246214,196532,48390,0,4237,1346,0,0,0,2456,0,0,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,3075807,1652329,1103078,262134,32465,14763,3440,3887,1337,0,0,0,1837,0,0,0,537,0,0,0,0,0,0,0
35,New Mexico,State,556074,273495,232751,32257,13218,2996,713,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,New York,State,6316129,3756177,1933492,503458,75956,12220,23580,5011,3473,0,0,0,2762,0,0,0,0,0,0,0,0,0,0,0
37,North Carolina,State,2515807,1107849,1225938,168059,2108,8740,258,2771,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
