FIPS,Geographic Name,Geographic Subtype,Total Vote,Albert Gore Jr.,George W. Bush,Ralph Nader,Patrick Buchanan,Harry Browne,Howard Phillips,John Hagelin,Write-ins,James Harris,L. Neil Smith,David McReynolds,Monica Moorehead,None o.t. Candidates,Cathy Brown,Denny Lane,Randall Venson,Earl Dodge,Louie Youngkeit
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
1,Alabama,State,1672551,695602,944409,18349,6364,5902,777,447,701,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,285560,79004,167398,28747,5192,2636,596,919,1068,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,1532016,685341,781652,45645,12373,0,110,1120,0,0,5775,0,0,0,0,0,0,0,0
5,Arkansas,State,921781,422768,472940,13421,7358,2781,1415,1098,0,0,0,0,0,0,0,0,0,0,0
6,California,State,10965856,5861203,4567429,418707,44987,45520,17042,10934,6,0,0,28,0,0,0,0,0,0,0
8,Colorado,State,1741365,738227,883745,91434,10465,12799,1319,2240,0,216,0,712,0,0,0,0,0,208,0
9,Connecticut,State,1459525,816015,561094,64452,4731,3484,9695,40,10,4,0,0,0,0,0,0,0,0,0
10,Delaware,State,327622,180068,137288,8307,777,774,208,107,93,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,201894,171923,18073,10576,0,669,0,0,539,114,0,0,0,0,0,0,0,0,0
12,Florida,State,5963110,2912253,2912790,97488,17484,16415,1371,2281,40,562,0,622,1804,0,0,0,0,0,0
13,Georgia,State,2596804,1116230,1419720,13432,10926,36332,140,0,13,11,0,0,0,0,0,0,0,0,0
15,Hawaii,State,367951,205286,137845,21623,1071,1477,343,306,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,501621,138637,336937,12292,7615,3488,1469,1177,6,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,4742123,2589026,2019421,103759,16106,11623,57,2127,0,0,0,4,0,0,0,0,0,0,0
18,Indiana,State,2199302,901980,1245836,18531,16959,15530,200,167,56,0,0,43,0,0,0,0,0,0,0
19,Iowa,State,1315563,638517,634373,29374,5731,3209,613,2281,1168,190,0,107,0,0,0,0,0,0,0
20,Kansas,State,1072216,399276,622332,36086,7370,4525,1254,1373,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,1544187,638898,872492,23192,4173,2896,923,1533,80,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,1765656,792344,927871,20473,14356,2951,5483,1075,0,1103,0,0,0,0,0,0,0,0,0
23,Maine,State,651817,319951,286616,37127,4443,3074,579,0,27,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,2025480,1145782,813797,53768,4248,5310,919,176,1480,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,2702984,1616487,878502,173564,11149,16366,0,2884,3990,0,0,42,0,0,0,0,0,0,0
26,Michigan,State,4232711,2170418,1953139,84165,2061,16711,3791,2426,0,0,0,0,0,0,0,0,0,0,0
27,Minnesota,State,2438685,1168266,1109659,126696,22166,5282,3272,2294,28,1022,0,0,0,0,0,0,0,0,0
28,Mississippi,State,994926,404964,573230,8126,2267,2009,3267,450,0,613,0,0,0,0,0,0,0,0,0
29,Missouri,State,2359892,1111138,1189924,38515,9818,7436,1957,1104,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,410997,137126,240178,24437,5697,1718,1155,675,11,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,697019,231780,433862,24540,3646,2245,468,478,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,608970,279978,301575,15008,4747,3311,621,415,0,0,0,0,0,3315,0,0,0,0,0
33,New Hampshire,State,569081,266348,273559,22198,2615,2757,328,55,1221,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,3187226,1788850,1284173,94554,6989,6312,1409,2215,0,844,0,1880,0,0,0,0,0,0,0
35,New Mexico,State,598605,286783,286417,21251,1392,2058,343,361,0,0,0,0,0,0,0,0,0,0,0
36,New York,State,6831178,4113791,2405676,244398,31659,7718,1503,24369,612,1450,0,2,0,0,0,0,0,0,0
37,North Carolina,State,2911262,1257692,1631163,0,8874,12307,0,0,0,0,0,1226,0,0,0,0,0,0,0
38,North Dakota,State,288267,95284,174852,9497,7288,671,373,302,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,State,4705457,2186190,2351209,117857,26724,13475,3823,6169,0,10,0,0,0,0,0,0,0,0,0
40,Oklahoma,State,1234229,474276,744337,0,9014,6602,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,1533968,720342,713577,77357,7063,7447,2189,2574,3419,0,0,0,0,0,0,0,0,0,0
42,Pennsylvania,State,4913119,2485967,2281127,103392,16023,11248,14428,0,934,0,0,0,0,0,0,0,0,0,0
44,Rhode Island,State,409112,249508,130555,25052,2273,742,97,271,329,34,0,52,199,0,0,0,0,0,0
45,South Carolina,State,1383777,566039,786426,20279,3520,4888,1682,943,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,316269,118804,190700,0,3322,1662,1781,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,2076181,981720,1061949,19781,4250,4284,1015,613,428,0,0,0,0,0,1606,0,535,0,0
48,Texas,State,6407637,2433746,3799639,137994,12394,23160,567,0,74,0,0,63,0,0,0,0,0,0,0
49,Utah,State,770754,203053,515096,35850,9319,3616,2709,763,1,186,0,0,0,0,0,0,0,0,161
50,Vermont,State,294308,149022,119775,20374,2192,784,153,219,514,70,0,161,0,0,0,1044,0,0,0
51,Virginia,State,2739447,1217290,1437490,59398,5455,15198,1809,171,2636,0,0,0,0,0,0,0,0,0,0
53,Washington,State,2487433,1247652,1108864,103002,7171,13135,1989,2927,0,304,0,660,1729,0,0,0,0,0,0
54,West Virginia,State,648124,295497,336475,10680,3169,1912,23,367,1,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,2598607,1242987,1237279,94070,11471,6640,2042,853,1896,306,0,0,1063,0,0,0,0,0,0
56,Wyoming,State,218351,60481,147947,4625,2724,1443,720,411,0,0,0,0,0,0,0,0,0,0,0
