FIPS,Geographic Name,Geographic Subtype,Total Vote,John Kerry,George W. Bush,Ralph Nader,Michael Badnarik,Michael Peroutka,David Cobb,Róger Calero,Walt Brown,Bill Van Auken,Write-ins,Thomas Harens,John Parker,None of these Candidates,Stanford Andress,Charles Jay,Leonard Peltier,Gene Amondson,Earl Dodge
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
1,Alabama,State,1883449,693933,1176394,6701,3529,1994,0,0,0,0,898,0,0,0,0,0,0,0,0
2,Alaska,State,312598,111025,190889,5069,1675,2092,1058,0,0,0,790,0,0,0,0,0,0,0,0
4,Arizona,State,2012585,893524,1104294,2773,11856,0,138,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,1054945,469953,572898,6171,2352,2083,1488,0,0,0,0,0,0,0,0,0,0,0,0
6,California,State,12421859,6745485,5509826,21213,50165,26645,40771,0,0,0,96,0,51,0,0,0,27607,0,0
8,Colorado,State,2130325,1001725,1101256,12718,7665,2562,1591,241,216,329,700,0,0,0,804,0,0,378,140
9,Connecticut,State,1578769,857488,693826,12969,3367,1543,9564,12,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,375270,200152,171660,2153,586,289,250,3,100,0,76,0,0,1,0,0,0,0,0
11,District of Columbia,State,227586,202970,21256,1485,502,0,737,130,0,0,506,0,0,0,0,0,0,0,0
12,Florida,State,7609810,3583544,3964522,32971,11996,6626,3917,2732,3502,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,3301875,1366149,1914254,2231,18387,580,228,0,0,0,46,0,0,0,0,0,0,0,0
15,Hawaii,State,429013,231708,194191,0,1377,0,1737,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,598447,181098,409235,1115,3844,3084,58,0,3,0,10,0,0,0,0,0,0,0,0
17,Illinois,State,5274322,2891550,2345946,3571,32442,440,241,0,0,0,132,0,0,0,0,0,0,0,0
18,Indiana,State,2468002,969011,1479438,1328,18058,0,102,0,22,0,43,0,0,0,0,0,0,0,0
19,Iowa,State,1506908,741898,751957,5973,2992,1304,1141,373,0,176,1094,0,0,0,0,0,0,0,0
20,Kansas,State,1187756,434993,736456,9348,4013,2899,33,0,4,5,5,0,0,0,0,0,0,0,0
21,Kentucky,State,1795860,712733,1069439,8856,2619,2213,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,1943106,820299,1102169,7032,2781,5203,1276,985,1795,0,0,0,0,0,0,0,0,1566,0
23,Maine,State,740752,396842,330201,8069,1965,735,2936,0,0,0,4,0,0,0,0,0,0,0,0
24,Maryland,State,2386678,1334493,1024703,11854,6094,3421,3632,0,0,0,2481,0,0,0,0,0,0,0,0
25,Massachusetts,State,2912388,1803800,1071109,4806,15022,0,10623,0,0,0,7028,0,0,0,0,0,0,0,0
26,Michigan,State,4839252,2479183,2313746,24035,10552,4980,5325,0,1431,0,0,0,0,0,0,0,0,0,0
27,Minnesota,State,2828387,1445014,1346695,18683,4639,3074,4408,416,2,539,2530,2387,0,0,0,0,0,0,0
28,Mississippi,State,1152365,458094,684981,3177,1793,1759,1073,1272,0,0,216,0,0,0,0,0,0,0,0
29,Missouri,State,2731364,1259171,1455713,1294,9831,5355,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,450445,173710,266063,6168,1733,1764,996,0,0,0,11,0,0,0,0,0,0,0,0
