FIPS,Geographic Name,Geographic Subtype,Total Vote,Barack H. Obama,John S. McCain III,Ralph Nader,Bob Barr,Cynthia A. McKinney,Charles O. Baldwin,Róger Calero,Brian Moore,Gloria LaRiva,Write-ins,Charles Jay,Alan Keyes,None of these Candidates,Jonathan E. Allen,John Joseph Polachek,Bradford Lyttle,Frank E. McEnulty,Gene C. Amondson,Thomas R. Stevens,Ron Paul,Ted C. Weill,George D. J. Phillies,Jeffrey Boss,Richard Duncan,Jeffrey J. Wamboldt
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25
1,Alabama,State,2099819,813479,1266546,6788,4991,0,4310,0,0,0,3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,326197,123594,193841,3783,1589,0,1660,0,0,0,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,2293475,1034707,1230111,11301,12555,3406,1371,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,1086617,422310,638017,12882,4776,3470,4023,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,California,State,13561900,8274473,5011781,108381,67582,38774,3145,49,0,0,36,0,40673,0,0,0,0,0,0,0,17006,0,0,0,0,0
8,Colorado,State,2401462,1288633,1073629,13352,10898,2822,6233,154,226,158,0,598,3051,0,348,0,110,829,85,336,0,0,0,0,0,0
9,Connecticut,State,1646793,997773,629428,19162,0,90,311,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,412412,255459,152374,2401,1109,385,626,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,265853,245800,17367,958,0,590,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,8391640,4282367,4046219,28128,17220,2887,7915,533,405,1516,391,797,2550,0,0,0,0,0,293,419,0,0,0,0,0,0
13,Georgia,State,3924500,1844123,2048759,1165,28731,250,1404,24,0,0,35,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,453568,325871,120566,3825,1314,979,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,655122,236440,403012,7175,3658,39,4747,0,3,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,5522575,3419348,2031179,31152,19642,11838,8256,0,0,0,10,0,0,0,0,1149,0,0,0,0,1,0,0,0,0,0
18,Indiana,State,2751054,1374039,1345648,909,29257,87,1024,0,14,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1537123,828940,682379,8014,4590,1423,4445,292,182,121,6737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1235872,514765,699655,10527,6706,35,4148,0,2,0,1,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,1826543,751985,1048462,15378,5989,0,4694,0,7,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,1960761,782989,1148275,6997,0,9187,2581,735,0,354,0,0,0,0,0,0,0,0,275,0,9368,0,0,0,0,0
23,Maine,State,731163,421923,295273,10636,251,2900,177,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,2631596,1629467,959862,14713,9842,4747,3760,0,10,0,9091,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,3081069,1904098,1108854,28841,13189,6550,4971,0,0,0,14566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,5001766,2872579,2048639,33085,23716,8892,14685,0,41,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Minnesota,State,2910369,1573354,1275409,30152,9174,5174,6787,790,7,0,9500,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mississippi,State,1289865,554662,724597,4011,2529,1034,2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0
29,Missouri,State,2925205,1441911,1445814,17813,11386,80,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,491960,232159,243882,3699,1358,23,143,0,0,0,26,0,0,0,1,0,0,0,0,0,10669,0,0,0,0,0
31,Nebraska,State,801281,333319,452979,5406,2740,1028,2972,0,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,967848,533736,412827,6150,4263,1411,3194,0,0,0,0,0,0,6267,0,0,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,710970,384826,316534,3503,2217,40,226,0,0,0,2001,0,0,0,0,0,0,0,0,0,1092,0,531,0,0,0
34,New Jersey,State,3868237,2215422,1613207,21298,8441,3636,3956,523,699,416,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0
35,New Mexico,State,830158,472422,346832,5327,2428,1552,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,New York,State,7640948,4804945,2752771,41249,19596,12801,646,3615,11,1639,3296,0,37,0,1,0,0,0,0,0,341,0,0,0,0,0
37,North Carolina,State,4310789,2142651,2128474,1454,25722,158,0,0,38,0,12292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,316615,141403,168887,4199,1067,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,State,5708350,2940044,2677820,42337,19917,8518,12565,0,2735,0,347,0,160,0,2,0,0,0,0,0,0,0,0,0,3905,0
40,Oklahoma,State,1462661,502496,960165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,1827864,1037291,738475,18614,7635,4543,7693,0,0,0,13613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Pennsylvania,State,6001185,3276363,2655885,42977,19912,71,1348,3,20,1,0,1,56,37,0,0,0,2,0,0,4509,0,0,0,0,0
44,Rhode Island,State,471766,296571,165391,4829,1382,797,675,0,0,122,1511,0,5,11,0,0,0,0,0,0,472,0,0,0,0,0
45,South Carolina,State,1920969,862449,1034896,5053,7283,4461,6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,381975,170924,203054,4267,1835,0,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,2599749,1087437,1479178,11560,8547,2499,8191,0,1326,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Texas,State,8077795,3528633,4479328,5751,56116,909,5708,0,135,0,216,0,895,0,104,0,0,0,0,0,0,0,0,0,0,0
49,Utah,State,952370,327670,596030,8416,6966,982,12012,0,0,262,4,1,25,0,2,0,0,0,0,0,0,0,0,0,0,0
50,Vermont,State,325046,219262,98974,3339,1067,66,500,150,141,149,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Virginia,State,3723260,1959532,1725005,11483,11067,2344,7474,0,13,0,6302,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0
53,Washington,State,3036878,1750848,1229216,29489,12728,3819,9432,641,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,West Virginia,State,713451,303857,397466,7219,0,2355,2465,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,2983417,1677211,1262393,17605,8858,4216,5072,0,540,237,6521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764
56,Wyoming,State,254658,82868,164958,2525,1594,0,1192,0,0,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
