FIPS,Geographic Name,Geographic Subtype,Total Vote,Barack H. Obama,Willard Mitt Romney,0,Gary Johnson,Jill Stein,Virgil H. Goode, Jr.,James Harris,Stewart Alexander,Peta Lindsay,Write-ins,Ross C. 'Rocky' Anderson,Thomas Hoefling,Roseanne Barr,None of these Candidates,Jim Carlson,Dean Morstad,Merlin Miller,Lowell 'Jack' Fellure,Thomas R. Stevens,Jerry White,Andre Barnett,Randall Terry,Jill Ann Reed,Jerry Litzel,Sheila Tittle,Richard Duncan,Jeff Boss,Barbara Dale Washer,Chuck Baldwin,Will Christensen
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30
1,Alabama,State,2074338,795696,1255925,0,12328,3397,2981,0,0,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,300495,122640,164676,0,7392,2917,0,0,0,0,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,2306559,1025232,1233654,0,32100,7816,289,0,0,0,7312,119,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,14
5,Arkansas,State,1069468,394409,647744,0,16276,9305,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,California,State,13038547,7854285,4839958,0,143221,85638,503,72,82,0,21515,992,38372,53824,0,0,0,0,0,0,79,0,0,0,0,6,0,0,0,0,0
8,Colorado,State,2569522,1323102,1185243,0,35545,7508,6234,192,308,317,0,1260,679,5059,0,0,0,266,0,235,189,0,4,2589,0,792,0,0,0,0,0
9,Connecticut,State,1558993,905109,634899,0,12580,863,0,5,0,0,25,5487,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,413921,242584,165484,0,3882,1940,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,District of Columbia,State,293764,267070,21381,0,2083,2458,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,8474179,4237756,4163447,0,44726,8947,2607,0,799,322,6,1754,946,8154,0,0,0,0,0,3856,0,820,0,36,0,0,3,0,0,0,0
13,Georgia,State,3900050,1773827,2078688,0,45324,1516,432,21,0,0,58,154,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
15,Hawaii,State,434697,306658,121015,0,3840,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,652346,212787,420911,0,9453,4402,2222,0,0,0,22,2499,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,Illinois,State,5242014,3019512,2135216,0,56229,30222,415,0,0,0,67,185,25,0,0,0,0,0,0,0,12,0,0,131,0,0,0,0,0,0,0
18,Indiana,State,2628288,1154275,1422872,0,50148,625,290,0,17,0,10,0,35,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
19,Iowa,State,1582180,822544,730617,0,12926,3769,3038,445,0,372,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,0
20,Kansas,State,1156254,439908,689809,0,20409,714,187,0,0,0,48,95,12,58,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,4990,1
21,Kentucky,State,1797212,679370,1087190,0,17063,6337,245,0,0,0,4,60,30,0,0,0,0,0,0,0,4,0,6872,0,0,0,37,0,0,0,0
22,Louisiana,State,1994065,809141,1152262,0,18157,6978,2508,389,0,622,0,1368,0,0,0,0,0,0,518,0,355,0,0,0,0,1767,0,0,0,0,0
23,Maine,State,713180,401306,292276,0,9352,8119,0,0,0,0,2035,62,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
24,Maryland,State,2707327,1677844,971869,0,30195,17110,418,0,0,0,9555,204,0,64,0,0,1,26,0,0,0,19,0,7,0,0,15,0,0,0,0
25,Massachusetts,State,3167767,1921761,1188460,0,30931,20063,0,0,0,0,6552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,4730984,2564569,2115256,0,7797,21897,16119,0,89,0,0,5147,42,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
