FIPS,Geographic Name,Geographic Subtype,Total Vote,Hillary Clinton,Donald J. Trump,Evan McMullin,Gary Johnson,Dr. Jill Stein,Darrell L. Castle,Rocky de la Fuente,Emidio Soltysik,Gloria LaRiva,Write-ins,Alyson Kennedy,Thomas Hoefling,Richard Duncan,Monica Moorehead,None of these Candidates,Dan R. Vacek,James Hedges,Laurence Kotlikoff,Jerry White,Chris Keniston,Kyle Kenley Kopitke,Frank Atwood,Khadijah Jacob-Fambro,Bradford Lyttle,Lynn S. Kahn,Joseph Allen Maldonado,Michael A. Maturen,Ryan Alan Scott,Rod Silva,Mike Smith,Scott Copeland,Peter Skewes,Rocky Giordani
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33
1,Alabama,State,2123372,729547,1318255,0,44467,9391,0,0,0,0,21712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,318608,116454,163387,0,18725,5735,3866,1240,0,0,9201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,2603925,1161167,1252401,16993,106327,34345,1008,0,0,0,31684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,1130635,380494,684872,13255,29829,9473,4613,0,0,0,0,0,0,0,0,0,0,4709,0,0,0,0,0,0,0,3390,0,0,0,0,0,0,0,0
6,California,State,14131132,8739638,4477478,0,477707,278107,0,0,0,65993,92209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,2780220,1338870,1202484,28917,144121,38437,11699,1255,271,531,0,452,710,0,0,0,0,185,392,0,5028,1096,337,0,382,0,872,862,749,751,1819,0,0,0
9,Connecticut,State,1644920,897572,673215,2108,48676,22841,147,12,0,41,238,0,31,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0
10,Delaware,State,441590,235603,185127,0,14757,6103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,311268,282830,12723,0,4906,4258,0,0,0,0,6551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,9494570,4504975,4617886,0,207043,64399,16475,9108,0,0,74585,0,0,25,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,4135753,1877963,2089104,13017,125306,7674,1110,0,0,0,21271,0,70,0,0,0,0,0,34,0,0,0,0,0,0,0,0,151,0,0,53,0,0,0
15,Hawaii,State,428937,266891,128847,0,15954,12737,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,690433,189765,409055,46476,28331,8496,4403,1373,0,0,37,0,56,0,2,0,0,0,5,0,15,0,0,0,0,0,0,56,0,0,7,2356,0,0
17,Illinois,State,5571945,3090729,2146015,11655,209596,76802,1138,0,0,0,35733,0,175,0,0,0,0,0,82,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
18,Indiana,State,2740611,1039126,1557286,0,133993,7841,1937,21,57,0,0,0,269,25,0,0,0,0,49,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
